Trial_index;TrialID;Block;Conditions;Stimulus_type;Number_of_Bars;rt;Query_color;color_sequence;position_sequence;heights;key_press;Correct_Position;response_position;subject_id;correct;avg_frame_time;center_x;center_y;trial_type;time_elapsed;TrialType;timeMs;timeMin;score;reward;date
1;4;1;noStructureExp;bars;5;1337;blue;yellow,saddlebrown,green,blue,black;570,210,390,480,300;180,210,240,270,300;32;4;3;6ay43rhbk9cygs5;false;166.799;390;195;psychophysics;35583;practice_trials;NULL;NULL;NULL;NULL;12_11_2020_16_32_11
1;4;1;noStructureExp;query;5;2307;blue;yellow,saddlebrown,green,blue,black;570,210,390,480,300;180,210,240,270,300;51;4;3;6ay43rhbk9cygs5;false;166.822;390;195;psychophysics;38895;practice_trial;NULL;NULL;NULL;NULL;12_11_2020_16_32_11
2;5;1;noStructureExp;bars;6;2103;white;blue,green,yellow,saddlebrown,white,black;120,570,480,300,210,390;180,210,240,270,300,330;32;5;5;6ay43rhbk9cygs5;true;166.828;390;195;psychophysics;43008;practice_trials;NULL;NULL;NULL;NULL;12_11_2020_16_32_11
2;5;1;noStructureExp;query;6;1779;white;blue,green,yellow,saddlebrown,white,black;120,570,480,300,210,390;180,210,240,270,300,330;53;5;5;6ay43rhbk9cygs5;true;166.847;390;195;psychophysics;45791;practice_trial;NULL;NULL;NULL;NULL;12_11_2020_16_32_11
3;2;1;noStructureExp;bars;3;1121;black;saddlebrown,black,purple;390,480,300;180,210,240;32;2;3;6ay43rhbk9cygs5;false;166.806;390;195;psychophysics;48919;practice_trials;NULL;NULL;NULL;NULL;12_11_2020_16_32_11
3;2;1;noStructureExp;query;3;1540;black;saddlebrown,black,purple;390,480,300;180,210,240;51;2;3;6ay43rhbk9cygs5;false;166.828;390;195;psychophysics;51466;practice_trial;NULL;NULL;NULL;NULL;12_11_2020_16_32_11
4;6;1;noStructureExp;bars;7;1743;purple;pink,purple,saddlebrown,orange,blue,yellow,white;570,660,300,480,390,210,120;150,180,210,240,270,300,330;32;2;4;6ay43rhbk9cygs5;false;166.803;390;195;psychophysics;55218;practice_trials;NULL;NULL;NULL;NULL;12_11_2020_16_32_11
4;6;1;noStructureExp;query;7;1050;purple;pink,purple,saddlebrown,orange,blue,yellow,white;570,660,300,480,390,210,120;150,180,210,240,270,300,330;52;2;4;6ay43rhbk9cygs5;false;16.684;390;195;psychophysics;57273;practice_trial;NULL;NULL;NULL;NULL;12_11_2020_16_32_11
5;1;1;noStructureExp;bars;2;1182;white;white,yellow;300,39;180,21;32;1;1;6ay43rhbk9cygs5;true;166.831;390;195;psychophysics;60460;practice_trials;NULL;NULL;NULL;NULL;12_11_2020_16_32_11
5;1;1;noStructureExp;query;2;1122;white;white,yellow;300,39;180,21;49;1;1;6ay43rhbk9cygs5;true;166.829;390;195;psychophysics;62585;practice_trial;NULL;NULL;NULL;NULL;12_11_2020_16_32_11
6;3;1;noStructureExp;bars;4;1243;pink;orange,yellow,green,pink;300,390,480,210;150,180,210,240;32;4;1;6ay43rhbk9cygs5;false;166.878;390;195;psychophysics;65836;practice_trials;NULL;NULL;NULL;NULL;12_11_2020_16_32_11
6;3;1;noStructureExp;query;4;695;pink;orange,yellow,green,pink;300,390,480,210;150,180,210,240;49;4;1;6ay43rhbk9cygs5;false;166.846;390;195;psychophysics;67535;practice_trial;NULL;NULL;NULL;NULL;12_11_2020_16_32_11
7;0;1;noStructureExp;bars;1;606;yellow;yellow;390;270;32;1;1;6ay43rhbk9cygs5;true;166.831;390;195;psychophysics;70147;practice_trials;NULL;NULL;NULL;NULL;12_11_2020_16_32_11
7;0;1;noStructureExp;query;1;1704;yellow;yellow;390;270;49;1;1;6ay43rhbk9cygs5;true;166.809;390;195;psychophysics;72856;practice_trial;NULL;NULL;NULL;NULL;12_11_2020_16_32_11
8;0;2;noStructureCont;bars;1;1164;pink;pink;390;270;32;1;1;6ay43rhbk9cygs5;true;166.824;390;195;psychophysics;78034;practice_trials;NULL;NULL;NULL;NULL;12_11_2020_16_32_11
8;0;2;noStructureCont;query;1;812;pink;pink;390;270;49;1;1;6ay43rhbk9cygs5;true;166.719;390;195;psychophysics;79852;practice_trial;NULL;NULL;NULL;NULL;12_11_2020_16_32_11
9;4;2;noStructureCont;bars;5;3950;black;yellow,orange,pink,black,white;210,300,390,480,570;180,210,240,270,300;32;4;3;6ay43rhbk9cygs5;false;166.835;390;195;psychophysics;85808;practice_trials;NULL;NULL;NULL;NULL;12_11_2020_16_32_11
9;4;2;noStructureCont;query;5;2656;black;yellow,orange,pink,black,white;210,300,390,480,570;180,210,240,270,300;51;4;3;6ay43rhbk9cygs5;false;166.829;390;195;psychophysics;89476;practice_trial;NULL;NULL;NULL;NULL;12_11_2020_16_32_11
10;3;2;noStructureCont;bars;4;1575;yellow;pink,orange,white,yellow;210,300,390,480;150,180,210,240;32;4;4;6ay43rhbk9cygs5;true;166.871;390;195;psychophysics;93063;practice_trials;NULL;NULL;NULL;NULL;12_11_2020_16_32_11
10;3;2;noStructureCont;query;4;1550;yellow;pink,orange,white,yellow;210,300,390,480;150,180,210,240;52;4;4;6ay43rhbk9cygs5;true;166.825;390;195;psychophysics;95617;practice_trial;NULL;NULL;NULL;NULL;12_11_2020_16_32_11
11;1;2;noStructureCont;bars;2;767;blue;blue,saddlebrown;300,39;180,21;32;1;1;6ay43rhbk9cygs5;true;166.852;390;195;psychophysics;98392;practice_trials;NULL;NULL;NULL;NULL;12_11_2020_16_32_11
11;1;2;noStructureCont;query;2;613;blue;blue,saddlebrown;300,39;180,21;49;1;1;6ay43rhbk9cygs5;true;166.831;390;195;psychophysics;100009;practice_trial;NULL;NULL;NULL;NULL;12_11_2020_16_32_11
12;2;2;noStructureCont;bars;3;2281;red;orange,red,blue;300,390,480;180,210,240;32;2;2;6ay43rhbk9cygs5;true;16.686;390;195;psychophysics;104297;practice_trials;NULL;NULL;NULL;NULL;12_11_2020_16_32_11
12;2;2;noStructureCont;query;3;820;red;orange,red,blue;300,390,480;180,210,240;50;2;2;6ay43rhbk9cygs5;true;166.851;390;195;psychophysics;106121;practice_trial;NULL;NULL;NULL;NULL;12_11_2020_16_32_11
13;6;2;noStructureCont;bars;7;2005;pink;white,pink,blue,saddlebrown,red,purple,orange;120,210,300,390,480,570,660;150,180,210,240,270,300,330;32;2;3;6ay43rhbk9cygs5;false;166.836;390;195;psychophysics;110132;practice_trials;NULL;NULL;NULL;NULL;12_11_2020_16_32_11
13;6;2;noStructureCont;query;7;2268;pink;white,pink,blue,saddlebrown,red,purple,orange;120,210,300,390,480,570,660;150,180,210,240,270,300,330;51;2;3;6ay43rhbk9cygs5;false;166.836;390;195;psychophysics;113405;practice_trial;NULL;NULL;NULL;NULL;12_11_2020_16_32_11
14;5;2;noStructureCont;bars;6;2277;purple;green,orange,white,saddlebrown,purple,blue;120,210,300,390,480,570;180,210,240,270,300,330;32;5;5;6ay43rhbk9cygs5;true;166.833;390;195;psychophysics;117692;practice_trials;NULL;NULL;NULL;NULL;12_11_2020_16_32_11
