Trial_index;TrialID;Block;Conditions;Stimulus_type;Number_of_Bars;rt;Query_color;color_sequence;position_sequence;heights;key_press;Correct_Position;response_position;subject_id;correct;avg_frame_time;center_x;center_y;trial_type;time_elapsed;TrialType;timeMs;timeMin;score;reward;date
1;5;1;noStructureExp;bars;6;6781;pink;red,orange,saddlebrown,blue,pink,yellow;300,390,210,480,120,570;150,180,210,240,270,300;32;5;5;g63luoo50ve7yyn;true;166.667;390;195;psychophysics;167147;practice_trials;NULL;NULL;NULL;NULL;12_11_2020_10_14_22
1;5;1;noStructureExp;query;6;3577;pink;red,orange,saddlebrown,blue,pink,yellow;300,390,210,480,120,570;150,180,210,240,270,300;53;5;5;g63luoo50ve7yyn;true;166.681;390;195;psychophysics;171730;practice_trial;NULL;NULL;NULL;NULL;12_11_2020_10_14_22
2;4;1;noStructureExp;bars;5;7177;black;blue,purple,black,orange,green;480,210,390,570,300;210,240,270,300,330;32;3;3;g63luoo50ve7yyn;true;16.667;390;195;psychophysics;180915;practice_trials;NULL;NULL;NULL;NULL;12_11_2020_10_14_22
2;4;1;noStructureExp;query;5;3152;black;blue,purple,black,orange,green;480,210,390,570,300;210,240,270,300,330;51;3;3;g63luoo50ve7yyn;true;16.667;390;195;psychophysics;185075;practice_trial;NULL;NULL;NULL;NULL;12_11_2020_10_14_22
3;6;1;noStructureExp;bars;7;7854;saddlebrown;pink,green,purple,yellow,red,orange,saddlebrown;300,390,210,570,660,120,480;150,180,210,240,270,300,330;32;7;6;g63luoo50ve7yyn;false;166.664;390;195;psychophysics;194935;practice_trials;NULL;NULL;NULL;NULL;12_11_2020_10_14_22
3;6;1;noStructureExp;query;7;3835;saddlebrown;pink,green,purple,yellow,red,orange,saddlebrown;300,390,210,570,660,120,480;150,180,210,240,270,300,330;54;7;6;g63luoo50ve7yyn;false;166.665;390;195;psychophysics;199775;practice_trial;NULL;NULL;NULL;NULL;12_11_2020_10_14_22
4;3;1;noStructureExp;bars;4;4038;orange;blue,red,orange,purple;210,300,480,390;150,180,210,240;32;3;3;g63luoo50ve7yyn;true;166.673;390;195;psychophysics;205819;practice_trials;NULL;NULL;NULL;NULL;12_11_2020_10_14_22
4;3;1;noStructureExp;query;4;3106;orange;blue,red,orange,purple;210,300,480,390;150,180,210,240;51;3;3;g63luoo50ve7yyn;true;16.666;390;195;psychophysics;209931;practice_trial;NULL;NULL;NULL;NULL;12_11_2020_10_14_22
5;0;1;noStructureExp;bars;1;2126;yellow;yellow;390;270;32;1;1;g63luoo50ve7yyn;true;166.645;390;195;psychophysics;214065;practice_trials;NULL;NULL;NULL;NULL;12_11_2020_10_14_22
5;0;1;noStructureExp;query;1;2278;yellow;yellow;390;270;49;1;1;g63luoo50ve7yyn;true;166.663;390;195;psychophysics;217348;practice_trial;NULL;NULL;NULL;NULL;12_11_2020_10_14_22
6;1;1;noStructureExp;bars;2;1743;red;yellow,red;390,3;150,18;32;2;2;g63luoo50ve7yyn;true;166.653;390;195;psychophysics;221100;practice_trials;NULL;NULL;NULL;NULL;12_11_2020_10_14_22
6;1;1;noStructureExp;query;2;1207;red;yellow,red;390,3;150,18;50;2;2;g63luoo50ve7yyn;true;166.688;390;195;psychophysics;223312;practice_trial;NULL;NULL;NULL;NULL;12_11_2020_10_14_22
7;2;1;noStructureExp;bars;3;2735;red;orange,white,red;480,300,390;210,240,270;32;3;3;g63luoo50ve7yyn;true;166.661;390;195;psychophysics;228054;practice_trials;NULL;NULL;NULL;NULL;12_11_2020_10_14_22
7;2;1;noStructureExp;query;3;1763;red;orange,white,red;480,300,390;210,240,270;51;3;3;g63luoo50ve7yyn;true;166.673;390;195;psychophysics;230822;practice_trial;NULL;NULL;NULL;NULL;12_11_2020_10_14_22
8;2;2;noStructureCont;bars;3;1872;red;blue,black,red;300,390,480;210,240,270;32;3;3;g63luoo50ve7yyn;true;166.666;390;195;psychophysics;237757;practice_trials;NULL;NULL;NULL;NULL;12_11_2020_10_14_22
8;2;2;noStructureCont;query;3;1071;red;blue,black,red;300,390,480;210,240,270;51;3;3;g63luoo50ve7yyn;true;166.666;390;195;psychophysics;239833;practice_trial;NULL;NULL;NULL;NULL;12_11_2020_10_14_22
9;3;2;noStructureCont;bars;4;1909;red;blue,black,red,yellow;210,300,390,480;150,180,210,240;32;3;3;g63luoo50ve7yyn;true;166.659;390;195;psychophysics;243750;practice_trials;NULL;NULL;NULL;NULL;12_11_2020_10_14_22
9;3;2;noStructureCont;query;4;1133;red;blue,black,red,yellow;210,300,390,480;150,180,210,240;51;3;3;g63luoo50ve7yyn;true;16.668;390;195;psychophysics;245888;practice_trial;NULL;NULL;NULL;NULL;12_11_2020_10_14_22
10;4;2;noStructureCont;bars;5;3436;yellow;purple,white,yellow,green,orange;210,300,390,480,570;210,240,270,300,330;32;3;2;g63luoo50ve7yyn;false;166.671;390;195;psychophysics;251331;practice_trials;NULL;NULL;NULL;NULL;12_11_2020_10_14_22
10;4;2;noStructureCont;query;5;1411;yellow;purple,white,yellow,green,orange;210,300,390,480,570;210,240,270,300,330;50;3;2;g63luoo50ve7yyn;false;166.673;390;195;psychophysics;253748;practice_trial;NULL;NULL;NULL;NULL;12_11_2020_10_14_22
11;1;2;noStructureCont;bars;2;2140;white;green,white;300,39;150,18;32;2;2;g63luoo50ve7yyn;true;166.673;390;195;psychophysics;257896;practice_trials;NULL;NULL;NULL;NULL;12_11_2020_10_14_22
11;1;2;noStructureCont;query;2;1267;white;green,white;300,39;150,18;50;2;2;g63luoo50ve7yyn;true;166.656;390;195;psychophysics;260168;practice_trial;NULL;NULL;NULL;NULL;12_11_2020_10_14_22
12;0;2;noStructureCont;bars;1;1152;pink;pink;390;270;32;1;1;g63luoo50ve7yyn;true;166.649;390;195;psychophysics;263326;practice_trials;NULL;NULL;NULL;NULL;12_11_2020_10_14_22
12;0;2;noStructureCont;query;1;1051;pink;pink;390;270;49;1;1;g63luoo50ve7yyn;true;166.668;390;195;psychophysics;265382;practice_trial;NULL;NULL;NULL;NULL;12_11_2020_10_14_22
13;5;2;noStructureCont;bars;6;6214;purple;blue,black,orange,green,purple,pink;120,210,300,390,480,570;150,180,210,240,270,300;32;5;5;g63luoo50ve7yyn;true;166.666;390;195;psychophysics;273603;practice_trials;NULL;NULL;NULL;NULL;12_11_2020_10_14_22
13;5;2;noStructureCont;query;6;5574;purple;blue,black,orange,green,purple,pink;120,210,300,390,480,570;150,180,210,240,270,300;53;5;5;g63luoo50ve7yyn;true;166.665;390;195;psychophysics;280183;practice_trial;NULL;NULL;NULL;NULL;12_11_2020_10_14_22
14;6;2;noStructureCont;bars;7;6334;white;orange,red,green,saddlebrown,blue,pink,white;120,210,300,390,480,570,660;150,180,210,240,270,300,330;32;7;7;g63luoo50ve7yyn;true;166.666;390;195;psychophysics;288524;practice_trials;NULL;NULL;NULL;NULL;12_11_2020_10_14_22
14;6;2;noStructureCont;query;7;6420;white;orange,red,green,saddlebrown,blue,pink,white;120,210,300,390,480,570,660;150,180,210,240,270,300,330;55;7;7;g63luoo50ve7yyn;true;166.666;390;195;psychophysics;295951;practice_trial;NULL;NULL;NULL;NULL;12_11_2020_10_14_22
NULL;NULL;NULL;NULL;end_of_practice;NULL;3950;NULL;NULL;NULL;NULL;32;NULL;NULL;g63luoo50ve7yyn;NULL;NULL;NULL;NULL;html-keyboard-response;300905;practice_trials;300913;501.522;0.857143;NULL;12_11_2020_10_14_22
1;6;1;noStructureExp;bars;7;6769;orange;red,yellow,orange,black,pink,green,saddlebrown;480,390,210,120,570,660,300;150,180,210,240,270,300,330;32;3;4;5vuexcfs8r2v26t;false;167.037;390;195;psychophysics;250363;practice_trials;NULL;NULL;NULL;NULL;12_11_2020_10_20_51
1;6;1;noStructureExp;query;7;1907;orange;red,yellow,orange,black,pink,green,saddlebrown;480,390,210,120,570,660,300;150,180,210,240,270,300,330;52;3;4;5vuexcfs8r2v26t;false;169.626;390;195;psychophysics;253279;practice_trial;NULL;NULL;NULL;NULL;12_11_2020_10_20_51
2;0;1;noStructureExp;bars;1;2470;white;white;390;270;32;1;1;5vuexcfs8r2v26t;true;16.66;390;195;psychophysics;257775;practice_trials;NULL;NULL;NULL;NULL;12_11_2020_10_20_51
2;0;1;noStructureExp;query;1;4903;white;white;390;270;49;1;1;5vuexcfs8r2v26t;true;166.613;390;195;psychophysics;263697;practice_trial;NULL;NULL;NULL;NULL;12_11_2020_10_20_51
3;4;1;noStructureExp;bars;5;7605;white;white,purple,orange,yellow,blue;390,300,570,480,210;180,210,240,270,300;32;1;1;5vuexcfs8r2v26t;true;167.357;390;195;psychophysics;273320;practice_trials;NULL;NULL;NULL;NULL;12_11_2020_10_20_51
3;4;1;noStructureExp;query;5;1536;white;white,purple,orange,yellow,blue;390,300,570,480,210;180,210,240,270,300;49;1;1;5vuexcfs8r2v26t;true;168.456;390;195;psychophysics;275887;practice_trial;NULL;NULL;NULL;NULL;12_11_2020_10_20_51
4;1;1;noStructureExp;bars;2;3467;purple;purple,green;390,3;240,27;32;1;1;5vuexcfs8r2v26t;true;166.624;390;195;psychophysics;281378;practice_trials;NULL;NULL;NULL;NULL;12_11_2020_10_20_51
4;1;1;noStructureExp;query;2;1280;purple;purple,green;390,3;240,27;49;1;1;5vuexcfs8r2v26t;true;166.615;390;195;psychophysics;283669;practice_trial;NULL;NULL;NULL;NULL;12_11_2020_10_20_51
5;5;1;noStructureExp;bars;6;6893;green;green,blue,saddlebrown,white,yellow,black;570,390,480,300,120,210;150,180,210,240,270,300;32;1;2;5vuexcfs8r2v26t;false;167.438;390;195;psychophysics;292580;practice_trials;NULL;NULL;NULL;NULL;12_11_2020_10_20_51
5;5;1;noStructureExp;query;6;2326;green;green,blue,saddlebrown,white,yellow,black;570,390,480,300,120,210;150,180,210,240,270,300;50;1;2;5vuexcfs8r2v26t;false;16.663;390;195;psychophysics;295929;practice_trial;NULL;NULL;NULL;NULL;12_11_2020_10_20_51
6;3;1;noStructureExp;bars;4;3782;purple;blue,red,purple,orange;480,300,390,210;240,270,300,330;32;3;3;5vuexcfs8r2v26t;true;167.275;390;195;psychophysics;301724;practice_trials;NULL;NULL;NULL;NULL;12_11_2020_10_20_51
6;3;1;noStructureExp;query;4;5742;purple;blue,red,purple,orange;480,300,390,210;240,270,300,330;51;3;3;5vuexcfs8r2v26t;true;167.112;390;195;psychophysics;308476;practice_trial;NULL;NULL;NULL;NULL;12_11_2020_10_20_51
7;2;1;noStructureExp;bars;3;8392;black;yellow,saddlebrown,black;300,480,390;150,180,210;32;3;3;5vuexcfs8r2v26t;true;166.624;390;195;psychophysics;318890;practice_trials;NULL;NULL;NULL;NULL;12_11_2020_10_20_51
7;2;1;noStructureExp;query;3;1215;black;yellow,saddlebrown,black;300,480,390;150,180,210;51;3;3;5vuexcfs8r2v26t;true;166.627;390;195;psychophysics;321123;practice_trial;NULL;NULL;NULL;NULL;12_11_2020_10_20_51
8;4;2;noStructureCont;bars;5;5674;orange;orange,pink,purple,green,blue;210,300,390,480,570;180,210,240,270,300;32;1;1;5vuexcfs8r2v26t;true;166.621;390;195;psychophysics;330980;practice_trials;NULL;NULL;NULL;NULL;12_11_2020_10_20_51
8;4;2;noStructureCont;query;5;1061;orange;orange,pink,purple,green,blue;210,300,390,480,570;180,210,240,270,300;49;1;1;5vuexcfs8r2v26t;true;166.641;390;195;psychophysics;333049;practice_trial;NULL;NULL;NULL;NULL;12_11_2020_10_20_51
9;1;2;noStructureCont;bars;2;2814;blue;blue,pink;300,39;240,27;32;1;1;5vuexcfs8r2v26t;true;168.619;390;195;psychophysics;337885;practice_trials;NULL;NULL;NULL;NULL;12_11_2020_10_20_51
9;1;2;noStructureCont;query;2;753;blue;blue,pink;300,39;240,27;49;1;1;5vuexcfs8r2v26t;true;170.651;390;195;psychophysics;339675;practice_trial;NULL;NULL;NULL;NULL;12_11_2020_10_20_51
10;2;2;noStructureCont;bars;3;3423;pink;blue,orange,pink;300,390,480;150,180,210;32;3;3;5vuexcfs8r2v26t;true;16.663;390;195;psychophysics;345125;practice_trials;NULL;NULL;NULL;NULL;12_11_2020_10_20_51
10;2;2;noStructureCont;query;3;1317;pink;blue,orange,pink;300,390,480;150,180,210;51;3;3;5vuexcfs8r2v26t;true;16.886;390;195;psychophysics;347453;practice_trial;NULL;NULL;NULL;NULL;12_11_2020_10_20_51
11;0;2;noStructureCont;bars;1;2126;pink;pink;390;270;32;1;1;5vuexcfs8r2v26t;true;167.939;390;195;psychophysics;351601;practice_trials;NULL;NULL;NULL;NULL;12_11_2020_10_20_51
11;0;2;noStructureCont;query;1;328;pink;pink;390;270;49;1;1;5vuexcfs8r2v26t;true;166.526;390;195;psychophysics;352946;practice_trial;NULL;NULL;NULL;NULL;12_11_2020_10_20_51
12;5;2;noStructureCont;bars;6;15813;white;white,pink,black,blue,red,green;120,210,300,390,480,570;150,180,210,240,270,300;32;1;1;5vuexcfs8r2v26t;true;167.684;390;195;psychophysics;370782;practice_trials;NULL;NULL;NULL;NULL;12_11_2020_10_20_51
12;5;2;noStructureCont;query;6;1194;white;white,pink,black,blue,red,green;120,210,300,390,480,570;150,180,210,240,270,300;49;1;1;5vuexcfs8r2v26t;true;169.028;390;195;psychophysics;372988;practice_trial;NULL;NULL;NULL;NULL;12_11_2020_10_20_51
13;3;2;noStructureCont;bars;4;5388;black;red,blue,black,white;210,300,390,480;240,270,300,330;32;3;3;5vuexcfs8r2v26t;true;167.141;390;195;psychophysics;380410;practice_trials;NULL;NULL;NULL;NULL;12_11_2020_10_20_51
13;3;2;noStructureCont;query;4;2857;black;red,blue,black,white;210,300,390,480;240,270,300,330;51;3;3;5vuexcfs8r2v26t;true;169.622;390;195;psychophysics;384280;practice_trial;NULL;NULL;NULL;NULL;12_11_2020_10_20_51
14;6;2;noStructureCont;bars;7;11966;pink;white,red,pink,purple,black,blue,saddlebrown;120,210,300,390,480,570,660;150,180,210,240,270,300,330;32;3;3;5vuexcfs8r2v26t;true;167.321;390;195;psychophysics;398283;practice_trials;NULL;NULL;NULL;NULL;12_11_2020_10_20_51
14;6;2;noStructureCont;query;7;5733;pink;white,red,pink,purple,black,blue,saddlebrown;120,210,300,390,480,570,660;150,180,210,240,270,300,330;51;3;3;5vuexcfs8r2v26t;true;166.629;390;195;psychophysics;405037;practice_trial;NULL;NULL;NULL;NULL;12_11_2020_10_20_51
NULL;NULL;NULL;NULL;end_of_practice;NULL;3796;NULL;NULL;NULL;NULL;32;NULL;NULL;5vuexcfs8r2v26t;NULL;NULL;NULL;NULL;html-keyboard-response;409842;practice_trials;409861;683.102;0.857143;NULL;12_11_2020_10_20_51
1;0;1;noStructureExp;bars;1;4587;green;green;390;300;32;1;3;50gcxcf731yz2c7;false;16.666;390;195;psychophysics;220790;practice_trials;NULL;NULL;NULL;NULL;12_11_2020_20_58_8
1;0;1;noStructureExp;query;1;5518;green;green;390;300;51;1;3;50gcxcf731yz2c7;false;16.666;390;195;psychophysics;227316;practice_trial;NULL;NULL;NULL;NULL;12_11_2020_20_58_8
2;4;1;noStructureExp;bars;5;12167;black;yellow,black,white,saddlebrown,orange;570,210,300,480,390;150,180,210,240,270;32;2;4;50gcxcf731yz2c7;false;16.666;390;195;psychophysics;241499;practice_trials;NULL;NULL;NULL;NULL;12_11_2020_20_58_8
2;4;1;noStructureExp;query;5;2274;black;yellow,black,white,saddlebrown,orange;570,210,300,480,390;150,180,210,240,270;52;2;4;50gcxcf731yz2c7;false;16.666;390;195;psychophysics;244780;practice_trial;NULL;NULL;NULL;NULL;12_11_2020_20_58_8
3;5;1;noStructureExp;bars;6;20386;black;green,pink,purple,yellow,blue,black;120,570,390,300,210,480;180,210,240,270,300,330;32;6;4;50gcxcf731yz2c7;false;16.666;390;195;psychophysics;267177;practice_trials;NULL;NULL;NULL;NULL;12_11_2020_20_58_8
3;5;1;noStructureExp;query;6;4177;black;green,pink,purple,yellow,blue,black;120,570,390,300,210,480;180,210,240,270,300,330;52;6;4;50gcxcf731yz2c7;false;16.666;390;195;psychophysics;272360;practice_trial;NULL;NULL;NULL;NULL;12_11_2020_20_58_8
4;1;1;noStructureExp;bars;2;5955;red;orange,red;390,3;270,3;32;2;2;50gcxcf731yz2c7;true;16.666;390;195;psychophysics;280326;practice_trials;NULL;NULL;NULL;NULL;12_11_2020_20_58_8
4;1;1;noStructureExp;query;2;6425;red;orange,red;390,3;270,3;50;2;2;50gcxcf731yz2c7;true;16.666;390;195;psychophysics;287757;practice_trial;NULL;NULL;NULL;NULL;12_11_2020_20_58_8
5;3;1;noStructureExp;bars;4;10490;white;black,white,red,green;210,480,300,390;240,270,300,330;32;2;4;50gcxcf731yz2c7;false;16.666;390;195;psychophysics;300258;practice_trials;NULL;NULL;NULL;NULL;12_11_2020_20_58_8
5;3;1;noStructureExp;query;4;3520;white;black,white,red,green;210,480,300,390;240,270,300,330;52;2;4;50gcxcf731yz2c7;false;16.666;390;195;psychophysics;304787;practice_trial;NULL;NULL;NULL;NULL;12_11_2020_20_58_8
6;6;1;noStructureExp;bars;7;62484;pink;red,orange,white,green,blue,pink,black;390,120,570,660,210,300,480;150,180,210,240,270,300,330;32;6;5;50gcxcf731yz2c7;false;16.666;390;195;psychophysics;369283;practice_trials;NULL;NULL;NULL;NULL;12_11_2020_20_58_8
6;6;1;noStructureExp;query;7;2307;pink;red,orange,white,green,blue,pink,black;390,120,570,660,210,300,480;150,180,210,240,270,300,330;53;6;5;50gcxcf731yz2c7;false;16.666;390;195;psychophysics;372595;practice_trial;NULL;NULL;NULL;NULL;12_11_2020_20_58_8
7;2;1;noStructureExp;bars;3;9834;orange;saddlebrown,black,orange;390,300,480;210,240,270;32;3;3;50gcxcf731yz2c7;true;16.666;390;195;psychophysics;384440;practice_trials;NULL;NULL;NULL;NULL;12_11_2020_20_58_8
7;2;1;noStructureExp;query;3;2471;orange;saddlebrown,black,orange;390,300,480;210,240,270;51;3;3;50gcxcf731yz2c7;true;16.666;390;195;psychophysics;387919;practice_trial;NULL;NULL;NULL;NULL;12_11_2020_20_58_8
8;2;2;noStructureCont;bars;3;5544;white;blue,pink,white;300,390,480;210,240,270;32;3;3;50gcxcf731yz2c7;true;16.666;390;195;psychophysics;399629;practice_trials;NULL;NULL;NULL;NULL;12_11_2020_20_58_8
8;2;2;noStructureCont;query;3;3882;white;blue,pink,white;300,390,480;210,240,270;51;3;3;50gcxcf731yz2c7;true;16.666;390;195;psychophysics;404517;practice_trial;NULL;NULL;NULL;NULL;12_11_2020_20_58_8
9;3;2;noStructureCont;bars;4;4698;purple;white,purple,saddlebrown,pink;210,300,390,480;240,270,300,330;32;2;-16;50gcxcf731yz2c7;invalid response;16.666;390;195;psychophysics;411227;practice_trials;NULL;NULL;NULL;NULL;12_11_2020_20_58_8
9;3;2;noStructureCont;query;4;1816;purple;white,purple,saddlebrown,pink;210,300,390,480;240,270,300,330;32;2;-16;50gcxcf731yz2c7;invalid response;16.666;390;195;psychophysics;414050;practice_trial;NULL;NULL;NULL;NULL;12_11_2020_20_58_8
10;4;2;noStructureCont;bars;5;6786;purple;blue,purple,white,saddlebrown,yellow;210,300,390,480,570;150,180,210,240,270;32;2;3;50gcxcf731yz2c7;false;16.666;390;195;psychophysics;426850;practice_trials;NULL;NULL;NULL;NULL;12_11_2020_20_58_8
10;4;2;noStructureCont;query;5;475;purple;blue,purple,white,saddlebrown,yellow;210,300,390,480,570;150,180,210,240,270;51;2;3;50gcxcf731yz2c7;false;16.666;390;195;psychophysics;428338;practice_trial;NULL;NULL;NULL;NULL;12_11_2020_20_58_8
