Trial_index;TrialID;Block;Conditions;Stimulus_type;Number_of_Bars;rt;Query_color;color_sequence;position_sequence;heights;key_press;Correct_Position;response_position;subject_id;correct;avg_frame_time;center_x;center_y;trial_type;time_elapsed;TrialType;timeMs;timeMin;score;reward;date
1;2;1;noStructureExp;bars;3;9901;red;orange,red,purple;300,390,480;150,180,210;32;2;5;dcfu2a5evahms72;false;166.657;390;195;psychophysics;242296;practice_trials;NULL;NULL;NULL;NULL;12_11_2020_15_49_27
1;2;1;noStructureExp;query;3;4590;red;orange,red,purple;300,390,480;150,180,210;53;2;5;dcfu2a5evahms72;false;167.286;390;195;psychophysics;247893;practice_trial;NULL;NULL;NULL;NULL;12_11_2020_15_49_27
2;1;1;noStructureExp;bars;2;11501;orange;orange,black;300,39;300,33;32;1;4;dcfu2a5evahms72;false;166.662;390;195;psychophysics;261406;practice_trials;NULL;NULL;NULL;NULL;12_11_2020_15_49_27
2;1;1;noStructureExp;query;2;1558;orange;orange,black;300,39;300,33;52;1;4;dcfu2a5evahms72;false;166.641;390;195;psychophysics;263973;practice_trial;NULL;NULL;NULL;NULL;12_11_2020_15_49_27
3;6;1;noStructureExp;bars;7;14006;green;blue,pink,green,orange,saddlebrown,red,yellow;390,660,300,210,570,480,120;150,180,210,240,270,300,330;32;3;3;dcfu2a5evahms72;true;166.654;390;195;psychophysics;279989;practice_trials;NULL;NULL;NULL;NULL;12_11_2020_15_49_27
3;6;1;noStructureExp;query;7;2438;green;blue,pink,green,orange,saddlebrown,red,yellow;390,660,300,210,570,480,120;150,180,210,240,270,300,330;51;3;3;dcfu2a5evahms72;true;166.625;390;195;psychophysics;283437;practice_trial;NULL;NULL;NULL;NULL;12_11_2020_15_49_27
4;3;1;noStructureExp;bars;4;1293;blue;blue,black,red,yellow;390,300,210,480;240,270,300,330;32;1;7;dcfu2a5evahms72;false;166.704;390;195;psychophysics;286742;practice_trials;NULL;NULL;NULL;NULL;12_11_2020_15_49_27
4;3;1;noStructureExp;query;4;3034;blue;blue,black,red,yellow;390,300,210,480;240,270,300,330;55;1;7;dcfu2a5evahms72;false;166.673;390;195;psychophysics;290781;practice_trial;NULL;NULL;NULL;NULL;12_11_2020_15_49_27
5;5;1;noStructureExp;bars;6;1749;pink;saddlebrown,black,blue,red,purple,pink;480,300,210,120,570,390;180,210,240,270,300,330;32;6;3;dcfu2a5evahms72;false;166.617;390;195;psychophysics;294537;practice_trials;NULL;NULL;NULL;NULL;12_11_2020_15_49_27
5;5;1;noStructureExp;query;6;2331;pink;saddlebrown,black,blue,red,purple,pink;480,300,210,120,570,390;180,210,240,270,300,330;51;6;3;dcfu2a5evahms72;false;166.665;390;195;psychophysics;297878;practice_trial;NULL;NULL;NULL;NULL;12_11_2020_15_49_27
