Trial_index;TrialID;Block;Conditions;Stimulus_type;Number_of_Bars;rt;Query_color;color_sequence;position_sequence;heights;key_press;Correct_Position;response_position;subject_id;correct;avg_frame_time;center_x;center_y;trial_type;time_elapsed;TrialType;timeMs;timeMin;score;reward;date
1;3;1;noStructureExp;bars;4;3942;white;pink,yellow,white,green;390,210,300,480;240,270,300,330;32;3;3;12wz8v33a9awf4m;true;161.373;390;195;psychophysics;127529;practice_trials;NULL;NULL;NULL;NULL;15_11_2020_3_25_50
1;3;1;noStructureExp;query;4;4853;white;pink,yellow,white,green;390,210,300,480;240,270,300,330;51;3;3;12wz8v33a9awf4m;true;711.758;390;195;psychophysics;133386;practice_trial;NULL;NULL;NULL;NULL;15_11_2020_3_25_50
2;1;1;noStructureExp;bars;2;4336;yellow;saddlebrown,yellow;300,39;240,27;32;2;2;12wz8v33a9awf4m;true;713.893;390;195;psychophysics;139730;practice_trials;NULL;NULL;NULL;NULL;15_11_2020_3_25_50
2;1;1;noStructureExp;query;2;1366;yellow;saddlebrown,yellow;300,39;240,27;50;2;2;12wz8v33a9awf4m;true;712.625;390;195;psychophysics;142101;practice_trial;NULL;NULL;NULL;NULL;15_11_2020_3_25_50
3;0;1;noStructureExp;bars;1;1305;pink;pink;390;270;32;1;5;12wz8v33a9awf4m;false;709.624;390;195;psychophysics;145412;practice_trials;NULL;NULL;NULL;NULL;15_11_2020_3_25_50
3;0;1;noStructureExp;query;1;4175;pink;pink;390;270;53;1;5;12wz8v33a9awf4m;false;706.197;390;195;psychophysics;150591;practice_trial;NULL;NULL;NULL;NULL;15_11_2020_3_25_50
4;2;1;noStructureExp;bars;3;12979;saddlebrown;blue,saddlebrown,red;480,390,300;210,240,270;32;2;2;12wz8v33a9awf4m;true;843.355;390;195;psychophysics;165575;practice_trials;NULL;NULL;NULL;NULL;15_11_2020_3_25_50
4;2;1;noStructureExp;query;3;3009;saddlebrown;blue,saddlebrown,red;480,390,300;210,240,270;50;2;2;12wz8v33a9awf4m;true;710.911;390;195;psychophysics;169587;practice_trial;NULL;NULL;NULL;NULL;15_11_2020_3_25_50
5;4;1;noStructureExp;bars;5;4896;blue;blue,orange,green,black,yellow;390,300,210,480,570;210,240,270,300,330;32;1;3;12wz8v33a9awf4m;false;112.131;390;195;psychophysics;176489;practice_trials;NULL;NULL;NULL;NULL;15_11_2020_3_25_50
5;4;1;noStructureExp;query;5;1807;blue;blue,orange,green,black,yellow;390,300,210,480,570;210,240,270,300,330;51;1;3;12wz8v33a9awf4m;false;705.299;390;195;psychophysics;179299;practice_trial;NULL;NULL;NULL;NULL;15_11_2020_3_25_50
6;6;1;noStructureExp;bars;7;4908;black;orange,green,blue,yellow,black,pink,red;300,660,480,390,210,570,120;150,180,210,240,270,300,330;32;5;5;12wz8v33a9awf4m;true;115.252;390;195;psychophysics;186213;practice_trials;NULL;NULL;NULL;NULL;15_11_2020_3_25_50
6;6;1;noStructureExp;query;7;5348;black;orange,green,blue,yellow,black,pink,red;300,660,480,390,210,570,120;150,180,210,240,270,300,330;53;5;5;12wz8v33a9awf4m;true;708.259;390;195;psychophysics;192567;practice_trial;NULL;NULL;NULL;NULL;15_11_2020_3_25_50
7;5;1;noStructureExp;bars;6;5504;green;black,orange,red,green,yellow,blue;120,390,210,570,480,300;150,180,210,240,270,300;32;4;4;12wz8v33a9awf4m;true;100.976;390;195;psychophysics;200076;practice_trials;NULL;NULL;NULL;NULL;15_11_2020_3_25_50
7;5;1;noStructureExp;query;6;4011;green;black,orange,red,green,yellow,blue;120,390,210,570,480,300;150,180,210,240,270,300;52;4;4;12wz8v33a9awf4m;true;710.454;390;195;psychophysics;205092;practice_trial;NULL;NULL;NULL;NULL;15_11_2020_3_25_50
8;6;2;noStructureCont;bars;7;3249;orange;saddlebrown,blue,pink,black,orange,green,red;120,210,300,390,480,570,660;150,180,210,240,270,300,330;32;5;5;12wz8v33a9awf4m;true;136.841;390;195;psychophysics;213253;practice_trials;NULL;NULL;NULL;NULL;15_11_2020_3_25_50
8;6;2;noStructureCont;query;7;3350;orange;saddlebrown,blue,pink,black,orange,green,red;120,210,300,390,480,570,660;150,180,210,240,270,300,330;53;5;5;12wz8v33a9awf4m;true;709.168;390;195;psychophysics;217607;practice_trial;NULL;NULL;NULL;NULL;15_11_2020_3_25_50
9;5;2;noStructureCont;bars;6;3135;orange;saddlebrown,white,black,orange,red,green;120,210,300,390,480,570;150,180,210,240,270,300;32;4;4;12wz8v33a9awf4m;true;166.224;390;195;psychophysics;222749;practice_trials;NULL;NULL;NULL;NULL;15_11_2020_3_25_50
9;5;2;noStructureCont;query;6;1340;orange;saddlebrown,white,black,orange,red,green;120,210,300,390,480,570;150,180,210,240,270,300;52;4;4;12wz8v33a9awf4m;true;709.146;390;195;psychophysics;225094;practice_trial;NULL;NULL;NULL;NULL;15_11_2020_3_25_50
10;2;2;noStructureCont;bars;3;3054;orange;green,orange,pink;300,390,480;210,240,270;32;2;2;12wz8v33a9awf4m;true;152.427;390;195;psychophysics;230154;practice_trials;NULL;NULL;NULL;NULL;15_11_2020_3_25_50
10;2;2;noStructureCont;query;3;887;orange;green,orange,pink;300,390,480;210,240,270;50;2;2;12wz8v33a9awf4m;true;71.116;390;195;psychophysics;232046;practice_trial;NULL;NULL;NULL;NULL;15_11_2020_3_25_50
11;1;2;noStructureCont;bars;2;2519;green;pink,green;300,39;240,27;32;2;2;12wz8v33a9awf4m;true;149.636;390;195;psychophysics;236573;practice_trials;NULL;NULL;NULL;NULL;15_11_2020_3_25_50
11;1;2;noStructureCont;query;2;2351;green;pink,green;300,39;240,27;50;2;2;12wz8v33a9awf4m;true;713.461;390;195;psychophysics;239928;practice_trial;NULL;NULL;NULL;NULL;15_11_2020_3_25_50
12;0;2;noStructureCont;bars;1;1617;black;black;390;270;32;1;1;12wz8v33a9awf4m;true;100.695;390;195;psychophysics;243553;practice_trials;NULL;NULL;NULL;NULL;15_11_2020_3_25_50
12;0;2;noStructureCont;query;1;583;black;black;390;270;49;1;1;12wz8v33a9awf4m;true;720.468;390;195;psychophysics;245141;practice_trial;NULL;NULL;NULL;NULL;15_11_2020_3_25_50
13;4;2;noStructureCont;bars;5;2590;black;black,pink,white,red,orange;210,300,390,480,570;210,240,270,300,330;32;1;1;12wz8v33a9awf4m;true;71.163;390;195;psychophysics;249737;practice_trials;NULL;NULL;NULL;NULL;15_11_2020_3_25_50
13;4;2;noStructureCont;query;5;827;black;black,pink,white,red,orange;210,300,390,480,570;210,240,270,300,330;49;1;1;12wz8v33a9awf4m;true;706.315;390;195;psychophysics;251569;practice_trial;NULL;NULL;NULL;NULL;15_11_2020_3_25_50
14;3;2;noStructureCont;bars;4;1674;purple;orange,white,purple,yellow;210,300,390,480;240,270,300,330;32;3;3;12wz8v33a9awf4m;true;700.253;390;195;psychophysics;255248;practice_trials;NULL;NULL;NULL;NULL;15_11_2020_3_25_50
14;3;2;noStructureCont;query;4;895;purple;orange,white,purple,yellow;210,300,390,480;240,270,300,330;51;3;3;12wz8v33a9awf4m;true;722.561;390;195;psychophysics;257147;practice_trial;NULL;NULL;NULL;NULL;15_11_2020_3_25_50
NULL;NULL;NULL;NULL;end_of_practice;NULL;3570;NULL;NULL;NULL;NULL;32;NULL;NULL;12wz8v33a9awf4m;NULL;NULL;NULL;NULL;html-keyboard-response;261721;practice_trials;261728;436.213;0.857143;NULL;15_11_2020_3_25_50
1;2;1;noStructureExp;bars;3;3626;pink;green,purple,pink;480,300,390;210,240,270;32;3;3;zpdbjkc3r3564ye;true;166.724;390;195;psychophysics;119275;practice_trials;NULL;NULL;NULL;NULL;15_11_2020_3_36_21
