NoB,time,realRT,accuracy,realAccuracy,trueConnection,participant,Structure,trial,Nr_of_mutations
2,3,0.846,1,1,a,y7a6denlnqvwcgm,None,17,1
2,3,1.265,1,1,a,y7a6denlnqvwcgm,None,18,1
3,5,2.057,1,1,a,y7a6denlnqvwcgm,None,19,1
7,10,5.597,1,1,a,y7a6denlnqvwcgm,None,20,1
3,5,1.939,1,1,a,y7a6denlnqvwcgm,None,21,1
7,7,4.353,0,1,a,y7a6denlnqvwcgm,None,22,1
4,7,2.26,1,1,a,y7a6denlnqvwcgm,None,23,1
5,9,4.305,1,1,a,y7a6denlnqvwcgm,None,24,1
1,1,0.823,1,1,a,y7a6denlnqvwcgm,None,25,1
1,1,0.838,1,1,a,y7a6denlnqvwcgm,None,26,1
4,7,2.761,1,0,a,y7a6denlnqvwcgm,None,27,1
1,1,0.905,1,1,a,y7a6denlnqvwcgm,None,28,1
6,7,5.142,1,1,a,y7a6denlnqvwcgm,None,29,1
2,3,0.894,1,1,a,y7a6denlnqvwcgm,None,30,1
6,7,3.662,1,1,a,y7a6denlnqvwcgm,None,31,1
4,7,2.098,1,1,a,y7a6denlnqvwcgm,None,32,1
2,3,0.929,1,1,a,y7a6denlnqvwcgm,None,33,1
2,3,0.736,1,1,a,y7a6denlnqvwcgm,None,34,1
4,7,3.536,1,1,a,y7a6denlnqvwcgm,None,35,1
7,12,27.768,1,1,a,tf2ekjffoeoptr3,Query,1,1
3,5,7.651,1,1,a,tf2ekjffoeoptr3,Query,2,1
6,10,8.231,0,1,a,tf2ekjffoeoptr3,Query,3,1
2,3,3.539,1,1,a,tf2ekjffoeoptr3,Query,4,1
7,10,5.093,1,1,a,tf2ekjffoeoptr3,Query,5,1
4,7,6.25,1,1,a,tf2ekjffoeoptr3,Query,6,1
5,9,9.42,1,1,a,tf2ekjffoeoptr3,Query,7,1
4,7,5.914,0,1,a,tf2ekjffoeoptr3,Query,8,1
7,12,6.149,1,1,a,tf2ekjffoeoptr3,Query,9,1
2,3,2.267,1,1,a,tf2ekjffoeoptr3,Query,10,1
6,10,10.795,1,1,a,tf2ekjffoeoptr3,Query,11,1
5,7,7.567,1,1,a,tf2ekjffoeoptr3,Query,12,1
7,10,10.748,1,1,a,tf2ekjffoeoptr3,Query,13,1
2,3,2.597,1,1,a,tf2ekjffoeoptr3,Query,14,1
5,9,7.708,0,0,a,tf2ekjffoeoptr3,Query,15,1
2,3,3.82,1,1,a,tf2ekjffoeoptr3,Query,16,1
