NoB,time,realRT,accuracy,realAccuracy,trueConnection,participant,Structure,trial,Nr_of_mutations
4,7,1.957,1,1,cbj,cd1ooce50gh5xra,Sequence,16,1
1,1,1.196,1,1,cbj,cd1ooce50gh5xra,Sequence,17,1
7,9,6.06,1,1,cbj,cd1ooce50gh5xra,Sequence,18,1
1,1,0.538,1,1,cbj,cd1ooce50gh5xra,Sequence,19,1
2,3,0.671,1,1,cbj,cd1ooce50gh5xra,Sequence,20,1
1,1,0.44,1,1,cbj,cd1ooce50gh5xra,Sequence,21,1
5,9,4.936,1,1,cbj,cd1ooce50gh5xra,Sequence,22,1
3,5,1.292,1,1,cbj,cd1ooce50gh5xra,Sequence,23,1
6,11,4.916,1,1,cbj,cd1ooce50gh5xra,Sequence,24,1
5,9,3.047,1,1,cbj,cd1ooce50gh5xra,Sequence,25,1
7,8,6.04,0,1,cbj,cd1ooce50gh5xra,Sequence,26,1
5,9,3.589,1,1,cbj,cd1ooce50gh5xra,Sequence,27,1
2,3,0.535,1,1,cbj,cd1ooce50gh5xra,Sequence,28,1
4,7,3.02,1,1,cbj,cd1ooce50gh5xra,Sequence,29,1
1,1,0.526,1,1,cbj,cd1ooce50gh5xra,Sequence,30,1
3,5,2.584,1,1,cbj,cd1ooce50gh5xra,Sequence,31,1
3,5,1.12,1,1,cbj,cd1ooce50gh5xra,Sequence,32,1
1,1,0.547,1,1,cbj,cd1ooce50gh5xra,Sequence,33,1
7,11,4.577,1,1,cbj,cd1ooce50gh5xra,Sequence,34,1
2,3,0.481,1,1,cbj,cd1ooce50gh5xra,Sequence,35,1
6,9,7.396,1,1,a,cd1ooce50gh5xra,None,1,1
7,11,5.027,0,1,a,cd1ooce50gh5xra,None,2,1
7,9,4.369,0,1,a,cd1ooce50gh5xra,None,3,1
2,3,0.675,1,1,a,cd1ooce50gh5xra,None,4,1
1,1,0.486,1,1,a,cd1ooce50gh5xra,None,5,1
4,7,2.489,1,1,a,cd1ooce50gh5xra,None,6,1
5,9,2.88,1,1,a,cd1ooce50gh5xra,None,7,1
2,3,0.56,1,1,a,cd1ooce50gh5xra,None,8,1
4,7,1.93,1,1,a,cd1ooce50gh5xra,None,9,1
4,7,2.181,1,1,a,cd1ooce50gh5xra,None,10,1
4,7,1.941,1,1,a,cd1ooce50gh5xra,None,11,1
6,9,4.712,0,1,a,cd1ooce50gh5xra,None,12,1
7,12,8.872,1,1,a,cd1ooce50gh5xra,None,13,1
2,3,0.792,1,1,a,cd1ooce50gh5xra,None,14,1
7,10,5.289,1,1,a,cd1ooce50gh5xra,None,15,1
5,9,3.245,1,1,a,cd1ooce50gh5xra,None,16,1
1,1,0.595,1,1,a,cd1ooce50gh5xra,None,17,1
2,3,0.775,0,1,a,cd1ooce50gh5xra,None,18,1
1,1,0.682,1,1,a,cd1ooce50gh5xra,None,19,1
3,5,2.589,1,1,a,cd1ooce50gh5xra,None,20,1
1,1,0.427,1,1,a,cd1ooce50gh5xra,None,21,1
3,5,1.865,1,1,a,cd1ooce50gh5xra,None,22,1
6,11,3.878,1,1,a,cd1ooce50gh5xra,None,23,1
4,5,1.676,1,1,a,cd1ooce50gh5xra,None,24,1
1,1,0.426,1,1,a,cd1ooce50gh5xra,None,25,1
5,9,4.542,1,1,a,cd1ooce50gh5xra,None,26,1
3,3,1.283,0,1,a,cd1ooce50gh5xra,None,27,1
6,11,3.837,1,1,a,cd1ooce50gh5xra,None,28,1
5,9,2.886,0,1,a,cd1ooce50gh5xra,None,29,1
6,9,4.156,1,1,a,cd1ooce50gh5xra,None,30,1
5,9,4.386,1,1,a,cd1ooce50gh5xra,None,31,1
3,5,1.656,1,1,a,cd1ooce50gh5xra,None,32,1
7,10,5.252,0,1,a,cd1ooce50gh5xra,None,33,1
3,5,1.045,1,1,a,cd1ooce50gh5xra,None,34,1
2,3,0.792,1,1,a,cd1ooce50gh5xra,None,35,1
2,3,1.662,1,1,a,edj8zsg91okuwrc,Query,1,1
2,3,0.587,1,1,a,edj8zsg91okuwrc,Query,2,1
2,3,0.582,1,1,a,edj8zsg91okuwrc,Query,3,1
1,1,0.512,1,1,a,edj8zsg91okuwrc,Query,4,1
6,7,6.118,0,1,a,edj8zsg91okuwrc,Query,5,1
7,10,3.811,0,1,a,edj8zsg91okuwrc,Query,6,1
1,1,0.579,1,1,a,edj8zsg91okuwrc,Query,7,1
2,3,0.624,1,1,a,edj8zsg91okuwrc,Query,8,1
5,9,3.27,1,1,a,edj8zsg91okuwrc,Query,9,1
3,5,1.596,1,1,a,edj8zsg91okuwrc,Query,10,1
7,11,7.163,0,1,a,edj8zsg91okuwrc,Query,11,1
4,7,2.119,1,1,a,edj8zsg91okuwrc,Query,12,1
7,11,5.316,0,1,a,edj8zsg91okuwrc,Query,13,1
6,11,3.967,1,1,a,edj8zsg91okuwrc,Query,14,1
7,10,5.105,0,1,a,edj8zsg91okuwrc,Query,15,1
6,7,5.791,1,1,a,edj8zsg91okuwrc,Query,16,1
3,3,1.777,0,1,a,edj8zsg91okuwrc,Query,17,1
4,7,2.402,1,1,a,edj8zsg91okuwrc,Query,18,1
3,5,2.009,1,1,a,edj8zsg91okuwrc,Query,19,1
3,5,2.585,0,1,a,edj8zsg91okuwrc,Query,20,1
5,8,4.449,0,1,a,edj8zsg91okuwrc,Query,21,1
1,1,0.727,1,1,a,edj8zsg91okuwrc,Query,22,1
4,7,2.865,1,1,a,edj8zsg91okuwrc,Query,23,1
1,1,0.704,1,1,a,edj8zsg91okuwrc,Query,24,1
5,9,5.307,1,1,a,edj8zsg91okuwrc,Query,25,1
3,5,2.222,1,1,a,edj8zsg91okuwrc,Query,26,1
7,11,4.832,1,1,a,edj8zsg91okuwrc,Query,27,1
4,7,2.446,0,1,a,edj8zsg91okuwrc,Query,28,1
5,7,4.586,1,1,a,edj8zsg91okuwrc,Query,29,1
4,3,1.851,1,1,a,edj8zsg91okuwrc,Query,30,1
5,7,3.691,0,1,a,edj8zsg91okuwrc,Query,31,1
6,5,4.697,0,1,a,edj8zsg91okuwrc,Query,32,1
6,5,5.619,0,1,a,edj8zsg91okuwrc,Query,33,1
1,1,0.716,1,1,a,edj8zsg91okuwrc,Query,34,1
2,3,0.792,1,1,a,edj8zsg91okuwrc,Query,35,1
5,5,3.778,0,1,ihd,edj8zsg91okuwrc,Sequence,1,1
2,3,1.189,1,1,ihd,edj8zsg91okuwrc,Sequence,2,1
7,13,3.347,1,0,ihd,edj8zsg91okuwrc,Sequence,3,1
5,9,3.069,1,1,ihd,edj8zsg91okuwrc,Sequence,4,1
5,9,4.778,1,1,ihd,edj8zsg91okuwrc,Sequence,5,1
4,7,1.604,1,1,ihd,edj8zsg91okuwrc,Sequence,6,1
2,3,0.853,1,1,ihd,edj8zsg91okuwrc,Sequence,7,1
6,8,5.767,0,1,ihd,edj8zsg91okuwrc,Sequence,8,1
3,5,1.346,1,1,ihd,edj8zsg91okuwrc,Sequence,9,1
7,8,7.735,0,1,ihd,edj8zsg91okuwrc,Sequence,10,1
6,11,4.304,1,1,ihd,edj8zsg91okuwrc,Sequence,11,1
4,7,2.242,1,1,ihd,edj8zsg91okuwrc,Sequence,12,1
1,1,0.716,1,1,ihd,edj8zsg91okuwrc,Sequence,13,1
7,12,6.23,1,1,ihd,edj8zsg91okuwrc,Sequence,14,1
4,7,3.033,1,1,ihd,edj8zsg91okuwrc,Sequence,15,1
3,5,1.436,1,1,ihd,edj8zsg91okuwrc,Sequence,16,1
3,5,1.401,1,1,ihd,edj8zsg91okuwrc,Sequence,17,1
6,8,4.981,1,1,ihd,edj8zsg91okuwrc,Sequence,18,1
1,1,0.737,1,1,ihd,edj8zsg91okuwrc,Sequence,19,1
3,5,1.216,1,1,ihd,edj8zsg91okuwrc,Sequence,20,1
1,1,0.648,1,1,ihd,edj8zsg91okuwrc,Sequence,21,1
1,1,0.636,1,1,ihd,edj8zsg91okuwrc,Sequence,22,1
6,9,4.48,1,1,ihd,edj8zsg91okuwrc,Sequence,23,1
5,9,3.887,1,1,ihd,edj8zsg91okuwrc,Sequence,24,1
1,1,0.645,1,1,ihd,edj8zsg91okuwrc,Sequence,25,1
3,5,1.658,1,1,ihd,edj8zsg91okuwrc,Sequence,26,1
7,9,5.342,0,1,ihd,edj8zsg91okuwrc,Sequence,27,1
2,3,0.828,1,1,ihd,edj8zsg91okuwrc,Sequence,28,1
5,9,2.752,1,1,ihd,edj8zsg91okuwrc,Sequence,29,1
2,3,0.815,1,1,ihd,edj8zsg91okuwrc,Sequence,30,1
4,7,2.152,1,1,ihd,edj8zsg91okuwrc,Sequence,31,1
6,10,5.003,1,1,ihd,edj8zsg91okuwrc,Sequence,32,1
7,11,6.786,1,1,ihd,edj8zsg91okuwrc,Sequence,33,1
4,7,2.619,1,1,ihd,edj8zsg91okuwrc,Sequence,34,1
2,3,0.768,1,0,ihd,edj8zsg91okuwrc,Sequence,35,1
3,5,2.527,1,1,a,edj8zsg91okuwrc,None,1,1
1,1,0.984,1,1,a,edj8zsg91okuwrc,None,2,1
3,5,1.962,1,1,a,edj8zsg91okuwrc,None,3,1
4,7,3.335,1,1,a,edj8zsg91okuwrc,None,4,1
4,5,2.595,0,1,a,edj8zsg91okuwrc,None,5,1
5,9,4.541,0,1,a,edj8zsg91okuwrc,None,6,1
2,3,1.231,1,1,a,edj8zsg91okuwrc,None,7,1
7,13,7.793,1,1,a,edj8zsg91okuwrc,None,8,1
4,7,2.168,1,1,a,edj8zsg91okuwrc,None,9,1
6,10,6.083,1,1,a,edj8zsg91okuwrc,None,10,1
2,3,1.018,1,1,a,edj8zsg91okuwrc,None,11,1
3,5,1.943,1,1,a,edj8zsg91okuwrc,None,12,1
3,5,2.257,1,1,a,edj8zsg91okuwrc,None,13,1
4,7,4.015,1,1,a,edj8zsg91okuwrc,None,14,1
6,11,6.319,1,1,a,edj8zsg91okuwrc,None,15,1
5,8,5.123,1,1,a,edj8zsg91okuwrc,None,16,1
3,5,1.919,1,1,a,edj8zsg91okuwrc,None,17,1
7,9,7.342,0,1,a,edj8zsg91okuwrc,None,18,1
5,9,3.27,1,1,a,edj8zsg91okuwrc,None,19,1
4,7,3.755,1,1,a,edj8zsg91okuwrc,None,20,1
5,8,3.607,1,1,a,edj8zsg91okuwrc,None,21,1
5,7,4.732,1,1,a,edj8zsg91okuwrc,None,22,1
6,9,6.406,1,1,a,edj8zsg91okuwrc,None,23,1
7,10,9.241,1,1,a,edj8zsg91okuwrc,None,24,1
7,7,8.864,0,1,a,edj8zsg91okuwrc,None,25,1
1,1,0.831,1,1,a,edj8zsg91okuwrc,None,26,1
6,6,4.72,1,1,a,edj8zsg91okuwrc,None,27,1
1,1,0.769,1,1,a,edj8zsg91okuwrc,None,28,1
2,3,1.074,1,1,a,edj8zsg91okuwrc,None,29,1
6,6,5.408,0,1,a,edj8zsg91okuwrc,None,30,1
1,1,0.763,1,1,a,edj8zsg91okuwrc,None,31,1
2,3,1.21,1,1,a,edj8zsg91okuwrc,None,32,1
2,3,0.792,1,1,a,edj8zsg91okuwrc,None,33,1
1,1,0.724,1,1,a,edj8zsg91okuwrc,None,34,1
7,7,8.839,0,0,a,edj8zsg91okuwrc,None,35,1
3,5,2.204,1,1,a,4w9ejvvn5wn1gp4,Query,1,1
3,5,2.073,1,1,a,4w9ejvvn5wn1gp4,Query,2,1
6,11,7.6,1,1,a,4w9ejvvn5wn1gp4,Query,3,1
1,1,0.626,1,1,a,4w9ejvvn5wn1gp4,Query,4,1
1,1,0.589,1,1,a,4w9ejvvn5wn1gp4,Query,5,1
4,7,4.657,1,1,a,4w9ejvvn5wn1gp4,Query,6,1
1,1,0.606,1,1,a,4w9ejvvn5wn1gp4,Query,7,1
7,11,17.859,1,1,a,4w9ejvvn5wn1gp4,Query,8,1
2,3,1.014,1,1,a,4w9ejvvn5wn1gp4,Query,9,1
2,3,0.992,1,1,a,4w9ejvvn5wn1gp4,Query,10,1
7,12,12.514,1,1,a,4w9ejvvn5wn1gp4,Query,11,1
3,5,2.934,1,1,a,4w9ejvvn5wn1gp4,Query,12,1
5,9,5.707,1,1,a,4w9ejvvn5wn1gp4,Query,13,1
5,9,7.37,1,1,a,4w9ejvvn5wn1gp4,Query,14,1
2,3,1.102,1,1,a,4w9ejvvn5wn1gp4,Query,15,1
2,3,1.657,1,1,a,4w9ejvvn5wn1gp4,Query,16,1
2,3,0.962,1,1,a,4w9ejvvn5wn1gp4,Query,17,1
6,8,9.652,1,1,a,4w9ejvvn5wn1gp4,Query,18,1
1,1,0.537,1,1,a,4w9ejvvn5wn1gp4,Query,19,1
6,7,21.039,0,1,a,4w9ejvvn5wn1gp4,Query,20,1
7,9,10.918,1,0,a,4w9ejvvn5wn1gp4,Query,21,1
6,8,8.026,1,1,a,4w9ejvvn5wn1gp4,Query,22,1
3,5,2.52,0,1,a,4w9ejvvn5wn1gp4,Query,23,1
6,6,13.503,0,1,a,4w9ejvvn5wn1gp4,Query,24,1
5,7,6.323,0,1,a,4w9ejvvn5wn1gp4,Query,25,1
4,6,5.074,1,1,a,4w9ejvvn5wn1gp4,Query,26,1
1,1,0.586,1,1,a,4w9ejvvn5wn1gp4,Query,27,1
5,7,7.312,0,1,a,4w9ejvvn5wn1gp4,Query,28,1
7,9,10.452,1,1,a,4w9ejvvn5wn1gp4,Query,29,1
4,6,4.084,1,1,a,4w9ejvvn5wn1gp4,Query,30,1
7,9,9.015,1,1,a,4w9ejvvn5wn1gp4,Query,31,1
4,6,3.72,1,1,a,4w9ejvvn5wn1gp4,Query,32,1
3,5,1.982,0,1,a,4w9ejvvn5wn1gp4,Query,33,1
5,7,12.126,1,1,a,4w9ejvvn5wn1gp4,Query,34,1
4,6,2.935,1,1,a,4w9ejvvn5wn1gp4,Query,35,1
2,1,1.845,1,1,ech,4w9ejvvn5wn1gp4,Sequence,1,1
6,9,7.115,1,1,ech,4w9ejvvn5wn1gp4,Sequence,2,1
7,10,9.78,1,0,ech,4w9ejvvn5wn1gp4,Sequence,3,1
1,1,0.816,1,1,ech,4w9ejvvn5wn1gp4,Sequence,4,1
3,3,4.849,1,1,ech,4w9ejvvn5wn1gp4,Sequence,5,1
2,1,1.043,1,1,ech,4w9ejvvn5wn1gp4,Sequence,6,1
1,1,0.716,1,1,ech,4w9ejvvn5wn1gp4,Sequence,7,1
4,5,3.875,1,1,ech,4w9ejvvn5wn1gp4,Sequence,8,1
1,1,0.557,1,1,ech,4w9ejvvn5wn1gp4,Sequence,9,1
6,9,10.143,1,1,ech,4w9ejvvn5wn1gp4,Sequence,10,1
4,5,2.944,1,1,ech,4w9ejvvn5wn1gp4,Sequence,11,1
1,1,0.606,1,1,ech,4w9ejvvn5wn1gp4,Sequence,12,1
2,1,1.004,1,1,ech,4w9ejvvn5wn1gp4,Sequence,13,1
4,5,3.55,1,1,ech,4w9ejvvn5wn1gp4,Sequence,14,1
5,7,8.096,1,1,ech,4w9ejvvn5wn1gp4,Sequence,15,1
4,5,4.658,1,1,ech,4w9ejvvn5wn1gp4,Sequence,16,1
4,5,3.143,1,1,ech,4w9ejvvn5wn1gp4,Sequence,17,1
5,7,10.071,1,1,ech,4w9ejvvn5wn1gp4,Sequence,18,1
5,7,7.402,1,1,ech,4w9ejvvn5wn1gp4,Sequence,19,1
1,1,0.687,1,1,ech,4w9ejvvn5wn1gp4,Sequence,20,1
3,3,2.102,1,1,ech,4w9ejvvn5wn1gp4,Sequence,21,1
6,9,9.144,1,1,ech,4w9ejvvn5wn1gp4,Sequence,22,1
2,1,0.993,1,1,ech,4w9ejvvn5wn1gp4,Sequence,23,1
3,3,2.53,1,1,ech,4w9ejvvn5wn1gp4,Sequence,24,1
2,1,0.903,1,1,ech,4w9ejvvn5wn1gp4,Sequence,25,1
7,10,17.9,1,1,ech,4w9ejvvn5wn1gp4,Sequence,26,1
5,7,6.508,1,0,ech,4w9ejvvn5wn1gp4,Sequence,27,1
5,7,9.56,1,1,ech,4w9ejvvn5wn1gp4,Sequence,28,1
7,11,18.484,1,0,ech,4w9ejvvn5wn1gp4,Sequence,29,1
3,3,3.252,1,1,ech,4w9ejvvn5wn1gp4,Sequence,30,1
6,9,9.69,1,1,ech,4w9ejvvn5wn1gp4,Sequence,31,1
7,9,14.473,1,1,ech,4w9ejvvn5wn1gp4,Sequence,32,1
7,9,12.247,1,1,ech,4w9ejvvn5wn1gp4,Sequence,33,1
3,3,2.567,1,1,ech,4w9ejvvn5wn1gp4,Sequence,34,1
6,8,7.027,1,1,ech,4w9ejvvn5wn1gp4,Sequence,35,1
5,9,6.626,1,1,a,4w9ejvvn5wn1gp4,None,1,1
1,1,0.762,1,1,a,4w9ejvvn5wn1gp4,None,2,1
6,9,7.395,1,1,a,4w9ejvvn5wn1gp4,None,3,1
3,3,2.331,1,1,a,4w9ejvvn5wn1gp4,None,4,1
5,9,5.47,0,1,a,4w9ejvvn5wn1gp4,None,5,1
3,5,1.866,1,1,a,4w9ejvvn5wn1gp4,None,6,1
4,7,4.182,1,1,a,4w9ejvvn5wn1gp4,None,7,1
1,1,0.767,1,1,a,4w9ejvvn5wn1gp4,None,8,1
3,5,1.487,1,1,a,4w9ejvvn5wn1gp4,None,9,1
2,3,1.244,1,1,a,4w9ejvvn5wn1gp4,None,10,1
6,11,6.874,1,1,a,4w9ejvvn5wn1gp4,None,11,1
6,9,14.772,0,1,a,4w9ejvvn5wn1gp4,None,12,1
7,11,12.114,0,0,a,4w9ejvvn5wn1gp4,None,13,1
2,3,1.082,0,1,a,4w9ejvvn5wn1gp4,None,14,1
1,1,0.751,1,1,a,4w9ejvvn5wn1gp4,None,15,1
4,7,5.348,1,1,a,4w9ejvvn5wn1gp4,None,16,1
4,7,4.52,1,1,a,4w9ejvvn5wn1gp4,None,17,1
7,12,8.066,1,0,a,4w9ejvvn5wn1gp4,None,18,1
7,12,21.188,1,0,a,4w9ejvvn5wn1gp4,None,19,1
5,9,12.532,0,1,a,4w9ejvvn5wn1gp4,None,20,1
2,3,1.26,1,1,a,4w9ejvvn5wn1gp4,None,21,1
5,9,6.363,0,1,a,4w9ejvvn5wn1gp4,None,22,1
1,1,0.628,1,1,a,4w9ejvvn5wn1gp4,None,23,1
6,10,7.168,1,1,a,4w9ejvvn5wn1gp4,None,24,1
1,1,0.637,1,1,a,4w9ejvvn5wn1gp4,None,25,1
6,9,9.03,1,1,a,4w9ejvvn5wn1gp4,None,26,1
2,3,1.537,1,1,a,4w9ejvvn5wn1gp4,None,27,1
2,3,2.016,1,1,a,4w9ejvvn5wn1gp4,None,28,1
7,12,10.167,1,0,a,4w9ejvvn5wn1gp4,None,29,1
7,12,6.839,1,1,a,4w9ejvvn5wn1gp4,None,30,1
4,7,4.661,1,1,a,4w9ejvvn5wn1gp4,None,31,1
4,5,3.639,0,1,a,4w9ejvvn5wn1gp4,None,32,1
5,9,8.402,1,1,a,4w9ejvvn5wn1gp4,None,33,1
3,5,1.646,1,1,a,4w9ejvvn5wn1gp4,None,34,1
3,5,2.787,1,1,a,4w9ejvvn5wn1gp4,None,35,1
6,7,4.291,0,1,a,zybgre563nuk6gb,Query,1,1
7,8,3.497,1,1,a,zybgre563nuk6gb,Query,2,1
1,1,1.215,1,1,a,zybgre563nuk6gb,Query,3,1
6,7,5.025,1,1,a,zybgre563nuk6gb,Query,4,1
3,4,8.345,1,1,a,zybgre563nuk6gb,Query,5,1
3,4,11.377,1,1,a,zybgre563nuk6gb,Query,6,1
4,5,3.537,1,1,a,zybgre563nuk6gb,Query,7,1
5,6,3.952,1,1,a,zybgre563nuk6gb,Query,8,1
7,7,4.011,1,1,a,zybgre563nuk6gb,Query,9,1
6,6,5.921,1,1,a,zybgre563nuk6gb,Query,10,1
5,5,2.864,1,1,a,zybgre563nuk6gb,Query,11,1
2,2,3.584,1,1,a,zybgre563nuk6gb,Query,12,1
2,2,2.984,1,1,a,zybgre563nuk6gb,Query,13,1
3,3,3.337,1,1,a,zybgre563nuk6gb,Query,14,1
6,6,5.233,1,1,a,zybgre563nuk6gb,Query,15,1
1,1,1.584,1,1,a,zybgre563nuk6gb,Query,16,1
4,4,2.935,1,1,a,zybgre563nuk6gb,Query,17,1
2,2,3.809,1,1,a,zybgre563nuk6gb,Query,18,1
1,1,1.409,1,1,a,zybgre563nuk6gb,Query,19,1
2,2,8.985,1,1,a,zybgre563nuk6gb,Query,20,1
5,5,3.872,1,1,a,zybgre563nuk6gb,Query,21,1
7,7,15.689,1,1,a,zybgre563nuk6gb,Query,22,1
3,3,6.096,1,1,a,zybgre563nuk6gb,Query,23,1
5,5,3.887,1,1,a,zybgre563nuk6gb,Query,24,1
5,5,5.501,1,1,a,zybgre563nuk6gb,Query,25,1
7,7,2.985,1,1,a,zybgre563nuk6gb,Query,26,1
2,2,3.028,1,1,a,zybgre563nuk6gb,Query,27,1
4,4,4.313,1,1,a,zybgre563nuk6gb,Query,28,1
6,6,3.736,1,1,a,zybgre563nuk6gb,Query,29,1
1,1,1.104,1,1,a,zybgre563nuk6gb,Query,30,1
3,3,6.919,1,1,a,zybgre563nuk6gb,Query,31,1
1,1,1.472,1,1,a,zybgre563nuk6gb,Query,32,1
7,7,5.673,1,1,a,zybgre563nuk6gb,Query,33,1
4,4,8.696,1,1,a,zybgre563nuk6gb,Query,34,1
4,4,5.945,1,1,a,zybgre563nuk6gb,Query,35,1
4,5,3.252,0,1,ejf,zybgre563nuk6gb,Sequence,1,1
2,3,5.033,1,1,ejf,zybgre563nuk6gb,Sequence,2,1
2,3,2.872,1,1,ejf,zybgre563nuk6gb,Sequence,3,1
1,1,1.328,1,1,ejf,zybgre563nuk6gb,Sequence,4,1
6,7,4.328,1,1,ejf,zybgre563nuk6gb,Sequence,5,1
1,1,1.344,1,1,ejf,zybgre563nuk6gb,Sequence,6,1
3,4,6.801,1,1,ejf,zybgre563nuk6gb,Sequence,7,1
1,1,3.149,1,1,ejf,zybgre563nuk6gb,Sequence,8,1
2,3,1.664,1,1,ejf,zybgre563nuk6gb,Sequence,9,1
5,6,9.618,0,1,ejf,zybgre563nuk6gb,Sequence,10,1
6,7,9.6,0,1,ejf,zybgre563nuk6gb,Sequence,11,1
5,6,5.657,1,1,ejf,zybgre563nuk6gb,Sequence,12,1
7,8,11.823,0,1,ejf,zybgre563nuk6gb,Sequence,13,1
7,8,3.649,0,1,ejf,zybgre563nuk6gb,Sequence,14,1
1,1,1.129,1,1,ejf,zybgre563nuk6gb,Sequence,15,1
4,5,5.577,1,1,ejf,zybgre563nuk6gb,Sequence,16,1
6,7,4.98,0,1,ejf,zybgre563nuk6gb,Sequence,17,1
7,8,7.84,0,1,ejf,zybgre563nuk6gb,Sequence,18,1
6,6,5.544,0,1,ejf,zybgre563nuk6gb,Sequence,19,1
2,2,2.136,1,1,ejf,zybgre563nuk6gb,Sequence,20,1
7,7,5.422,0,1,ejf,zybgre563nuk6gb,Sequence,21,1
3,3,6.503,1,1,ejf,zybgre563nuk6gb,Sequence,22,1
7,7,5.007,0,1,ejf,zybgre563nuk6gb,Sequence,23,1
6,6,5.16,1,1,ejf,zybgre563nuk6gb,Sequence,24,1
5,5,11.753,1,1,ejf,zybgre563nuk6gb,Sequence,25,1
3,3,14.127,1,1,ejf,zybgre563nuk6gb,Sequence,26,1
2,2,169.916,1,1,ejf,zybgre563nuk6gb,Sequence,27,1
3,3,7.217,1,1,ejf,zybgre563nuk6gb,Sequence,28,1
3,3,7.264,1,1,ejf,zybgre563nuk6gb,Sequence,29,1
1,1,1.464,1,1,ejf,zybgre563nuk6gb,Sequence,30,1
4,4,6.665,0,1,ejf,zybgre563nuk6gb,Sequence,31,1
4,4,6.537,1,1,ejf,zybgre563nuk6gb,Sequence,32,1
4,4,5.352,0,1,ejf,zybgre563nuk6gb,Sequence,33,1
5,5,8.977,1,1,ejf,zybgre563nuk6gb,Sequence,34,1
5,5,5.417,1,1,ejf,zybgre563nuk6gb,Sequence,35,1
6,7,6.107,0,1,a,zybgre563nuk6gb,None,1,1
4,5,5.264,1,1,a,zybgre563nuk6gb,None,2,1
3,4,5.09,1,1,a,zybgre563nuk6gb,None,3,1
4,5,5.849,0,1,a,zybgre563nuk6gb,None,4,1
5,6,3.456,1,1,a,zybgre563nuk6gb,None,5,1
2,3,5.264,1,1,a,zybgre563nuk6gb,None,6,1
5,6,7.808,1,1,a,zybgre563nuk6gb,None,7,1
1,1,1.065,1,1,a,zybgre563nuk6gb,None,8,1
7,8,5.305,0,0,a,zybgre563nuk6gb,None,9,1
2,3,5.177,1,1,a,zybgre563nuk6gb,None,10,1
3,4,7.297,1,1,a,zybgre563nuk6gb,None,11,1
3,4,7.657,1,1,a,zybgre563nuk6gb,None,12,1
6,7,6.816,0,1,a,zybgre563nuk6gb,None,13,1
7,8,6.259,1,1,a,zybgre563nuk6gb,None,14,1
4,5,7.097,0,1,a,zybgre563nuk6gb,None,15,1
4,5,5.473,0,1,a,zybgre563nuk6gb,None,16,1
6,8,4.425,1,1,a,zybgre563nuk6gb,None,17,1
3,5,6.048,1,1,a,zybgre563nuk6gb,None,18,1
6,8,7.321,1,1,a,zybgre563nuk6gb,None,19,1
4,6,4.289,1,1,a,zybgre563nuk6gb,None,20,1
1,1,1.273,1,1,a,zybgre563nuk6gb,None,21,1
1,1,0.929,1,1,a,zybgre563nuk6gb,None,22,1
6,8,5.713,0,1,a,zybgre563nuk6gb,None,23,1
5,8,8.164,1,1,a,zybgre563nuk6gb,None,24,1
1,1,2.769,1,1,a,zybgre563nuk6gb,None,25,1
2,3,6.152,1,1,a,zybgre563nuk6gb,None,26,1
2,3,29.071,1,1,a,zybgre563nuk6gb,None,27,1
5,8,4.994,1,1,a,zybgre563nuk6gb,None,28,1
3,5,14.96,1,1,a,zybgre563nuk6gb,None,29,1
7,10,4.664,1,1,a,zybgre563nuk6gb,None,30,1
1,1,9.519,1,1,a,zybgre563nuk6gb,None,31,1
2,3,2.264,1,1,a,zybgre563nuk6gb,None,32,1
7,10,6.281,1,1,a,zybgre563nuk6gb,None,33,1
5,7,4.505,1,1,a,zybgre563nuk6gb,None,34,1
7,9,5.217,0,1,a,zybgre563nuk6gb,None,35,1
2,3,2.906,1,1,a,gcbscmvhn2vt6bq,Query,1,1
3,5,4.343,1,1,a,gcbscmvhn2vt6bq,Query,2,1
1,1,0.812,1,1,a,gcbscmvhn2vt6bq,Query,3,1
5,8,4.083,1,1,a,gcbscmvhn2vt6bq,Query,4,1
4,7,3.162,1,1,a,gcbscmvhn2vt6bq,Query,5,1
1,1,1.071,1,1,a,gcbscmvhn2vt6bq,Query,6,1
6,9,10.403,1,1,a,gcbscmvhn2vt6bq,Query,7,1
3,5,3.105,1,1,a,gcbscmvhn2vt6bq,Query,8,1
3,5,2.677,1,1,a,gcbscmvhn2vt6bq,Query,9,1
2,3,1.241,1,1,a,gcbscmvhn2vt6bq,Query,10,1
3,5,2.622,1,1,a,gcbscmvhn2vt6bq,Query,11,1
4,7,3.349,1,1,a,gcbscmvhn2vt6bq,Query,12,1
4,7,3.956,1,1,a,gcbscmvhn2vt6bq,Query,13,1
6,9,5.425,1,1,a,gcbscmvhn2vt6bq,Query,14,1
2,3,1.943,1,1,a,gcbscmvhn2vt6bq,Query,15,1
1,1,0.844,1,1,a,gcbscmvhn2vt6bq,Query,16,1
3,5,3.208,1,1,a,gcbscmvhn2vt6bq,Query,17,1
7,10,5.636,1,1,a,gcbscmvhn2vt6bq,Query,18,1
5,8,4.573,1,1,a,gcbscmvhn2vt6bq,Query,19,1
1,1,0.703,1,1,a,gcbscmvhn2vt6bq,Query,20,1
6,9,5.789,1,1,a,gcbscmvhn2vt6bq,Query,21,1
1,1,0.744,1,1,a,gcbscmvhn2vt6bq,Query,22,1
2,3,1.219,1,1,a,gcbscmvhn2vt6bq,Query,23,1
