NoB,time,realRT,accuracy,realAccuracy,threshold,connection,startAtSmall,participant,Structure,trial,trueConnection
1,1,0.678,1,1,6,a,0,4r8fa9xh0zzco6o,Query,11,0
3,5,1.355,1,1,6,a,0,4r8fa9xh0zzco6o,Query,12,0
6,11,6.058,1,1,6,a,0,4r8fa9xh0zzco6o,Query,13,0
7,12,7.47,1,1,6,a,0,4r8fa9xh0zzco6o,Query,14,0
4,7,2.571,1,1,5,a,0,4r8fa9xh0zzco6o,Query,15,0
5,9,4.278,1,1,5,a,0,4r8fa9xh0zzco6o,Query,16,0
4,7,2.506,1,1,5,a,0,4r8fa9xh0zzco6o,Query,17,0
4,7,2.158,1,1,5,a,0,4r8fa9xh0zzco6o,Query,18,0
3,5,1.549,1,1,5,a,0,4r8fa9xh0zzco6o,Query,19,0
2,3,0.696,1,1,5,a,0,4r8fa9xh0zzco6o,Query,20,0
1,1,0.594,1,1,5,a,0,4r8fa9xh0zzco6o,Query,21,0
2,3,0.872,1,1,5,a,0,4r8fa9xh0zzco6o,Query,22,0
5,9,4.747,1,1,5,a,0,4r8fa9xh0zzco6o,Query,23,0
3,5,3.116,1,1,5,a,0,4r8fa9xh0zzco6o,Query,24,0
2,3,1.052,1,1,5,a,0,4r8fa9xh0zzco6o,Query,25,0
1,1,4.7,1,1,5,a,0,4r8fa9xh0zzco6o,Query,26,0
5,9,3.391,1,1,4,a,0,4r8fa9xh0zzco6o,Query,27,0
7,10,1.947,1,1,4,a,0,4r8fa9xh0zzco6o,Query,28,0
5,8,1.01,1,1,4,a,0,4r8fa9xh0zzco6o,Query,29,0
6,9,1.603,1,1,4,a,0,4r8fa9xh0zzco6o,Query,30,0
6,9,1.976,1,1,4,a,0,4r8fa9xh0zzco6o,Query,31,0
6,9,1.318,1,1,4,a,0,4r8fa9xh0zzco6o,Query,32,0
7,10,1.588,1,1,4,a,0,4r8fa9xh0zzco6o,Query,33,0
3,5,0.482,1,1,4,a,0,4r8fa9xh0zzco6o,Query,34,0
4,7,0.547,1,1,4,a,0,4r8fa9xh0zzco6o,Query,35,0
3,5,2.906,1,1,7,a,0,a9tn75magy8nffy,Query,1,0
2,3,1.171,1,1,7,a,0,a9tn75magy8nffy,Query,2,0
3,5,1.256,1,1,7,a,0,a9tn75magy8nffy,Query,3,0
7,13,10.725,1,1,6,a,0,a9tn75magy8nffy,Query,4,0
6,11,6.569,1,1,6,a,0,a9tn75magy8nffy,Query,5,0
4,7,2.545,1,1,6,a,0,a9tn75magy8nffy,Query,6,0
2,3,0.738,1,1,6,a,0,a9tn75magy8nffy,Query,7,0
4,7,1.979,1,1,6,a,0,a9tn75magy8nffy,Query,8,0
1,1,0.546,1,1,6,a,0,a9tn75magy8nffy,Query,9,0
3,5,1.969,1,1,6,a,0,a9tn75magy8nffy,Query,10,0
5,9,3.621,1,1,6,a,0,a9tn75magy8nffy,Query,11,0
3,5,1.731,1,1,6,a,0,a9tn75magy8nffy,Query,12,0
5,9,3.358,1,1,5,a,0,a9tn75magy8nffy,Query,13,0
6,10,4.506,1,1,5,a,0,a9tn75magy8nffy,Query,14,0
1,1,0.487,1,1,5,a,0,a9tn75magy8nffy,Query,15,0
2,3,0.809,1,1,5,a,0,a9tn75magy8nffy,Query,16,0
3,5,1.507,1,1,5,a,0,a9tn75magy8nffy,Query,17,0
5,9,3.542,1,1,5,a,0,a9tn75magy8nffy,Query,18,0
7,11,5.072,1,1,5,a,0,a9tn75magy8nffy,Query,19,0
1,1,0.564,1,1,5,a,0,a9tn75magy8nffy,Query,20,0
6,10,5.825,1,0,5,a,0,a9tn75magy8nffy,Query,21,0
1,1,0.616,1,1,5,a,0,a9tn75magy8nffy,Query,22,0
7,11,5.571,1,1,5,a,0,a9tn75magy8nffy,Query,23,0
2,3,0.707,1,1,5,a,0,a9tn75magy8nffy,Query,24,0
4,7,2.313,1,1,5,a,0,a9tn75magy8nffy,Query,25,0
4,7,2.327,1,1,4,a,0,a9tn75magy8nffy,Query,26,0
7,10,7.818,1,1,4,a,0,a9tn75magy8nffy,Query,27,0
5,8,2.674,1,1,4,a,0,a9tn75magy8nffy,Query,28,0
7,10,10.143,1,1,4,a,0,a9tn75magy8nffy,Query,29,0
6,9,4.984,1,1,4,a,0,a9tn75magy8nffy,Query,30,0
2,3,0.753,1,1,4,a,0,a9tn75magy8nffy,Query,31,0
6,9,4.705,1,1,4,a,0,a9tn75magy8nffy,Query,32,0
5,8,3.67,1,1,4,a,0,a9tn75magy8nffy,Query,33,0
4,7,3.423,1,1,4,a,0,a9tn75magy8nffy,Query,34,0
1,1,0.489,1,1,4,a,0,a9tn75magy8nffy,Query,35,0
5,9,3.211,1,1,7,a,0,rbrzxgywqun5ned,Query,1,0
7,13,7.237,1,1,7,a,0,rbrzxgywqun5ned,Query,2,0
5,9,2.617,1,1,7,a,0,rbrzxgywqun5ned,Query,3,0
4,7,2.086,1,1,6,a,0,rbrzxgywqun5ned,Query,4,0
6,11,4.723,1,1,6,a,0,rbrzxgywqun5ned,Query,5,0
4,7,2.554,1,1,6,a,0,rbrzxgywqun5ned,Query,6,0
6,11,3.807,1,1,6,a,0,rbrzxgywqun5ned,Query,7,0
5,9,6.792,1,1,6,a,0,rbrzxgywqun5ned,Query,8,0
5,9,0.875,1,1,6,a,0,rbrzxgywqun5ned,Query,9,0
3,5,2.739,1,1,6,a,0,rbrzxgywqun5ned,Query,10,0
2,3,1.667,1,1,6,a,0,rbrzxgywqun5ned,Query,11,0
7,12,1.851,1,1,5,a,0,rbrzxgywqun5ned,Query,12,0
2,3,1.24,1,1,5,a,0,rbrzxgywqun5ned,Query,13,0
1,1,0.678,1,1,5,a,0,rbrzxgywqun5ned,Query,14,0
3,5,1.406,1,1,5,a,0,rbrzxgywqun5ned,Query,15,0
1,1,0.647,1,1,5,a,0,rbrzxgywqun5ned,Query,16,0
4,7,3.388,1,1,5,a,0,rbrzxgywqun5ned,Query,17,0
1,1,0.534,1,1,5,a,0,rbrzxgywqun5ned,Query,18,0
6,10,0.835,1,0,5,a,0,rbrzxgywqun5ned,Query,19,0
5,9,2.539,1,1,5,a,0,rbrzxgywqun5ned,Query,20,0
6,10,1.543,1,1,5,a,0,rbrzxgywqun5ned,Query,21,0
7,11,1.864,1,1,5,a,0,rbrzxgywqun5ned,Query,22,0
2,3,1.039,1,1,5,a,0,rbrzxgywqun5ned,Query,23,0
3,5,0.625,1,1,5,a,0,rbrzxgywqun5ned,Query,24,0
6,10,1.256,1,1,4,a,0,rbrzxgywqun5ned,Query,25,0
7,10,0.775,1,1,4,a,0,rbrzxgywqun5ned,Query,26,0
1,1,0.87,1,1,4,a,0,rbrzxgywqun5ned,Query,27,0
