NoB,time,realRT,accuracy,realAccuracy,trueConnection,participant,Structure,trial
6,11,3.738,0.55,0,a,y7a6denlnqvwcgm,None,8
3,5,2.04,1,1,a,y7a6denlnqvwcgm,None,9
4,7,3.263,1,1,a,y7a6denlnqvwcgm,None,10
7,12,5.239,0.85,1,a,y7a6denlnqvwcgm,None,11
5,9,3.576,1,1,a,y7a6denlnqvwcgm,None,12
3,5,1.622,0.95,0,a,y7a6denlnqvwcgm,None,13
6,11,6.198,0.95,1,a,y7a6denlnqvwcgm,None,14
5,9,9.368,0.65,1,a,y7a6denlnqvwcgm,None,15
5,9,3.505,0.9,1,a,y7a6denlnqvwcgm,None,16
2,3,0.846,1,1,a,y7a6denlnqvwcgm,None,17
2,3,1.265,1,1,a,y7a6denlnqvwcgm,None,18
3,5,2.057,1,1,a,y7a6denlnqvwcgm,None,19
7,12,5.597,0.5,1,a,y7a6denlnqvwcgm,None,20
3,5,1.939,0.7,1,a,y7a6denlnqvwcgm,None,21
7,12,4.353,0.95,1,a,y7a6denlnqvwcgm,None,22
4,7,2.26,1,1,a,y7a6denlnqvwcgm,None,23
5,9,4.305,1,1,a,y7a6denlnqvwcgm,None,24
1,1,0.823,1,1,a,y7a6denlnqvwcgm,None,25
1,1,0.838,1,1,a,y7a6denlnqvwcgm,None,26
4,7,2.761,1,0,a,y7a6denlnqvwcgm,None,27
1,1,0.905,1,1,a,y7a6denlnqvwcgm,None,28
6,11,5.142,1,1,a,y7a6denlnqvwcgm,None,29
2,3,0.894,1,1,a,y7a6denlnqvwcgm,None,30
6,11,3.662,1,1,a,y7a6denlnqvwcgm,None,31
4,7,2.098,1,1,a,y7a6denlnqvwcgm,None,32
2,3,0.929,1,1,a,y7a6denlnqvwcgm,None,33
2,3,0.736,1,1,a,y7a6denlnqvwcgm,None,34
4,7,3.536,0.85,1,a,y7a6denlnqvwcgm,None,35
7,13,27.768,0.4666666666666667,1,a,tf2ekjffoeoptr3,Query,1
3,5,7.651,1,1,a,tf2ekjffoeoptr3,Query,2
6,11,8.231,1,1,a,tf2ekjffoeoptr3,Query,3
2,3,3.539,1,1,a,tf2ekjffoeoptr3,Query,4
7,11,5.093,0.8666666666666667,1,a,tf2ekjffoeoptr3,Query,5
