NoB,time,realRT,accuracy,realAccuracy,trueConnection,participant,Structure,trial
3,5,2.057,1,1,a,y7a6denlnqvwcgm,None,19
7,12,5.597,0.45,1,a,y7a6denlnqvwcgm,None,20
3,5,1.939,0.77,1,a,y7a6denlnqvwcgm,None,21
7,11,4.353,0.87,1,a,y7a6denlnqvwcgm,None,22
4,7,2.26,1,1,a,y7a6denlnqvwcgm,None,23
5,9,4.305,0.38,1,a,y7a6denlnqvwcgm,None,24
1,1,0.823,1,1,a,y7a6denlnqvwcgm,None,25
1,1,0.838,1,1,a,y7a6denlnqvwcgm,None,26
4,7,2.761,0.82,0,a,y7a6denlnqvwcgm,None,27
1,1,0.905,1,1,a,y7a6denlnqvwcgm,None,28
6,10,5.142,0.98,1,a,y7a6denlnqvwcgm,None,29
2,3,0.894,1,1,a,y7a6denlnqvwcgm,None,30
6,11,3.662,0.97,1,a,y7a6denlnqvwcgm,None,31
4,7,2.098,0.98,1,a,y7a6denlnqvwcgm,None,32
2,3,0.929,1,1,a,y7a6denlnqvwcgm,None,33
2,3,0.736,1,1,a,y7a6denlnqvwcgm,None,34
4,7,3.536,0.7,1,a,y7a6denlnqvwcgm,None,35
7,13,27.768,0.8,1,a,tf2ekjffoeoptr3,Query,1
3,5,7.651,1,1,a,tf2ekjffoeoptr3,Query,2
6,10,8.231,0.9333333333333333,1,a,tf2ekjffoeoptr3,Query,3
2,3,3.539,1,1,a,tf2ekjffoeoptr3,Query,4
7,10,5.093,0.7333333333333333,1,a,tf2ekjffoeoptr3,Query,5
4,7,6.25,1,1,a,tf2ekjffoeoptr3,Query,6
5,7,9.42,1,1,a,tf2ekjffoeoptr3,Query,7
4,5,5.914,0.7333333333333333,1,a,tf2ekjffoeoptr3,Query,8
7,8,6.149,0.9333333333333333,1,a,tf2ekjffoeoptr3,Query,9
2,3,2.267,1,1,a,tf2ekjffoeoptr3,Query,10
6,7,10.795,1,1,a,tf2ekjffoeoptr3,Query,11
5,6,7.567,1,1,a,tf2ekjffoeoptr3,Query,12
7,8,10.748,1,1,a,tf2ekjffoeoptr3,Query,13
2,3,2.597,1,1,a,tf2ekjffoeoptr3,Query,14
5,6,7.708,1,0,a,tf2ekjffoeoptr3,Query,15
2,3,3.82,1,1,a,tf2ekjffoeoptr3,Query,16
6,7,5.913,1,1,a,tf2ekjffoeoptr3,Query,17
2,3,3.023,1,1,a,tf2ekjffoeoptr3,Query,18
1,1,1.858,1,1,a,tf2ekjffoeoptr3,Query,19
7,8,7.849,0.4666666666666667,1,a,tf2ekjffoeoptr3,Query,20
3,3,3.149,0.6666666666666666,1,a,tf2ekjffoeoptr3,Query,21
1,1,1.038,1,1,a,tf2ekjffoeoptr3,Query,22
5,6,7.769,1,1,a,tf2ekjffoeoptr3,Query,23
4,5,15.855,1,1,a,tf2ekjffoeoptr3,Query,24
3,4,3.639,0.6666666666666666,1,a,tf2ekjffoeoptr3,Query,25
1,1,0.872,1,1,a,tf2ekjffoeoptr3,Query,26
1,1,0.964,1,1,a,tf2ekjffoeoptr3,Query,27
5,6,6.864,0.9333333333333333,1,a,tf2ekjffoeoptr3,Query,28
3,4,3.315,1,1,a,tf2ekjffoeoptr3,Query,29
4,4,4.263,0.3333333333333333,1,a,tf2ekjffoeoptr3,Query,30
6,7,4.252,1,1,a,tf2ekjffoeoptr3,Query,31
6,6,3.547,0.8666666666666667,1,a,tf2ekjffoeoptr3,Query,32
1,1,1.005,1,1,a,tf2ekjffoeoptr3,Query,33
3,4,2.215,0.6,1,a,tf2ekjffoeoptr3,Query,34
4,5,1.644,1,1,a,tf2ekjffoeoptr3,Query,35
6,11,7.439,0.8666666666666667,1,fae,tf2ekjffoeoptr3,Sequence,1
4,7,13.141,1,1,fae,tf2ekjffoeoptr3,Sequence,2
6,10,10.879,0.8666666666666667,1,fae,tf2ekjffoeoptr3,Sequence,3
4,7,7.749,0.26666666666666666,1,fae,tf2ekjffoeoptr3,Sequence,4
5,9,6.028,0.7333333333333333,1,fae,tf2ekjffoeoptr3,Sequence,5
6,11,8.349,0.8,1,fae,tf2ekjffoeoptr3,Sequence,6
1,1,1.036,1,1,fae,tf2ekjffoeoptr3,Sequence,7
3,5,4.071,0.9333333333333333,1,fae,tf2ekjffoeoptr3,Sequence,8
7,10,9.168,0,1,fae,tf2ekjffoeoptr3,Sequence,9
