subject,nStartParticles,particles_to_mutate,LL
a9tn75magy8nffy,15,1,184.0296281003932
a9tn75magy8nffy,15,2,184.2089419907183
a9tn75magy8nffy,15,3,185.87100457259123
a9tn75magy8nffy,15,4,187.12026775822315
a9tn75magy8nffy,15,5,186.85402430144023
a9tn75magy8nffy,15,10,190.9370005161526
a9tn75magy8nffy,20,1,183.51375262612515
a9tn75magy8nffy,20,2,185.64676420834152
a9tn75magy8nffy,20,3,184.6746830697647
a9tn75magy8nffy,20,4,184.42385347356708
a9tn75magy8nffy,20,5,185.08445808800752
a9tn75magy8nffy,20,10,189.80292094807947
a9tn75magy8nffy,100,5,185.26629162987444
a9tn75magy8nffy,100,10,185.13829720148485
a9tn75magy8nffy,100,50,190.86104645934194
a9tn75magy8nffy,1000,50,189.69786503028803
a9tn75magy8nffy,1000,500,188.72521742794038
a9tn75magy8nffy,1000,750,189.71959432233314
a9tn75magy8nffy,10000,500,186.95173937187724
a9tn75magy8nffy,10000,750,186.48639703145395
a9tn75magy8nffy,10000,1000,186.9464111228225
a9tn75magy8nffy,10000,5000,190.11605229426473
a9tn75magy8nffy,10000,7500,188.63000567067547
rbrzxgywqun5ned,5,1,162.3467780403361
rbrzxgywqun5ned,5,2,169.6254897525419
rbrzxgywqun5ned,5,3,164.2944410609925
rbrzxgywqun5ned,5,4,164.9740966265562
rbrzxgywqun5ned,10,1,165.03091011540798
rbrzxgywqun5ned,10,2,163.40227239228156
rbrzxgywqun5ned,10,3,166.26862760063864
rbrzxgywqun5ned,10,4,167.08855092092995
rbrzxgywqun5ned,10,5,166.94191996173913
rbrzxgywqun5ned,15,1,163.90004518576137
rbrzxgywqun5ned,15,2,166.97038339679912
rbrzxgywqun5ned,15,3,166.42689614516362
rbrzxgywqun5ned,15,4,163.35018153361239
rbrzxgywqun5ned,15,5,169.2988643535077
rbrzxgywqun5ned,15,10,165.44441823000898
rbrzxgywqun5ned,20,1,161.34031081955297
rbrzxgywqun5ned,20,2,161.76147109779765
rbrzxgywqun5ned,20,3,164.4894790027254
rbrzxgywqun5ned,20,4,166.1511472451486
rbrzxgywqun5ned,20,5,165.46563329318724
rbrzxgywqun5ned,20,10,167.39877606046161
rbrzxgywqun5ned,100,5,163.22418397038857
rbrzxgywqun5ned,100,10,158.65239452263347
rbrzxgywqun5ned,100,50,166.8748079335469
rbrzxgywqun5ned,1000,50,159.82889132186511
rbrzxgywqun5ned,1000,500,166.56319958860257
rbrzxgywqun5ned,1000,750,168.74095948676637
rbrzxgywqun5ned,10000,500,160.32438350108552
rbrzxgywqun5ned,10000,750,161.27907410624863
rbrzxgywqun5ned,10000,1000,159.27676384493964
rbrzxgywqun5ned,10000,5000,166.2199017599456
rbrzxgywqun5ned,10000,7500,166.89644183691453
jlbt4al7q4sv0kj,5,1,191.2596677697865
jlbt4al7q4sv0kj,5,2,191.36654442062803
jlbt4al7q4sv0kj,5,3,191.29549349824572
jlbt4al7q4sv0kj,5,4,192.26550560719554
jlbt4al7q4sv0kj,10,1,190.3920071119507
jlbt4al7q4sv0kj,10,2,191.87998172132973
jlbt4al7q4sv0kj,10,3,190.1525677726936
jlbt4al7q4sv0kj,10,4,192.58438988130965
jlbt4al7q4sv0kj,10,5,190.427843712394
jlbt4al7q4sv0kj,15,1,189.97677516221276
jlbt4al7q4sv0kj,15,2,191.57065752887593
jlbt4al7q4sv0kj,15,3,193.80635481880418
jlbt4al7q4sv0kj,15,4,192.699174444525
jlbt4al7q4sv0kj,15,5,194.59897643828856
jlbt4al7q4sv0kj,15,10,193.42887309782333
jlbt4al7q4sv0kj,20,1,191.29121249531912
jlbt4al7q4sv0kj,20,2,191.06214610832942
jlbt4al7q4sv0kj,20,3,190.05350963085368
jlbt4al7q4sv0kj,20,4,192.79709563519904
jlbt4al7q4sv0kj,20,5,191.22705996790486
jlbt4al7q4sv0kj,20,10,193.5777342733759
jlbt4al7q4sv0kj,100,5,190.72401508764244
jlbt4al7q4sv0kj,100,10,191.28087675359524
jlbt4al7q4sv0kj,100,50,192.6568744149692
jlbt4al7q4sv0kj,1000,50,193.7903710363683
jlbt4al7q4sv0kj,1000,500,192.01385282711848
jlbt4al7q4sv0kj,1000,750,191.1242169137749
jlbt4al7q4sv0kj,10000,500,194.00594706866718
jlbt4al7q4sv0kj,10000,750,192.50527693828934
jlbt4al7q4sv0kj,10000,1000,192.55606564699937
jlbt4al7q4sv0kj,10000,5000,192.8537409186884
jlbt4al7q4sv0kj,10000,7500,193.71098330479467
lomhl7jw27e38km,5,1,182.67092153658007
lomhl7jw27e38km,5,2,186.204000359254
lomhl7jw27e38km,5,3,186.77196418416108
lomhl7jw27e38km,5,4,185.98708822518802
lomhl7jw27e38km,10,1,185.54530574345523
lomhl7jw27e38km,10,2,189.11742721225284
lomhl7jw27e38km,10,3,190.32157839317597
lomhl7jw27e38km,10,4,186.60250086128738
lomhl7jw27e38km,10,5,190.3209785805021
lomhl7jw27e38km,15,1,184.2304637874536
lomhl7jw27e38km,15,2,185.95334989436176
lomhl7jw27e38km,15,3,187.94553795623085
lomhl7jw27e38km,15,4,187.5936888910077
lomhl7jw27e38km,15,5,188.86060607694893
lomhl7jw27e38km,15,10,187.09682894042038
lomhl7jw27e38km,20,1,183.85685446059313
lomhl7jw27e38km,20,2,186.97594631248717
lomhl7jw27e38km,20,3,189.3534430546113
lomhl7jw27e38km,20,4,189.94664433052137
lomhl7jw27e38km,20,5,187.25979262632322
lomhl7jw27e38km,20,10,187.73586061332207
lomhl7jw27e38km,100,5,182.48939061474687
lomhl7jw27e38km,100,10,187.6533836442634
lomhl7jw27e38km,100,50,188.3896150770308
lomhl7jw27e38km,1000,50,182.27903134214628
lomhl7jw27e38km,1000,500,187.4945164518586
lomhl7jw27e38km,1000,750,186.42095986349307
lomhl7jw27e38km,10000,500,183.3064334885214
lomhl7jw27e38km,10000,750,183.8764868537537
lomhl7jw27e38km,10000,1000,182.68692920832495
lomhl7jw27e38km,10000,5000,188.58296295323146
lomhl7jw27e38km,10000,7500,187.10557239322046
jtdzsxkh2scccvw,5,1,185.08645527274365
jtdzsxkh2scccvw,5,2,182.64957549887342
jtdzsxkh2scccvw,5,3,184.40554031651644
jtdzsxkh2scccvw,5,4,184.02368784797005
jtdzsxkh2scccvw,10,1,182.54615680021283
jtdzsxkh2scccvw,10,2,182.69579266690837
jtdzsxkh2scccvw,10,3,181.92785929273379
jtdzsxkh2scccvw,10,4,182.35374309538102
jtdzsxkh2scccvw,10,5,185.12407135479953
jtdzsxkh2scccvw,15,1,182.9061418326575
jtdzsxkh2scccvw,15,2,182.16981024404242
jtdzsxkh2scccvw,15,3,184.47111708360848
jtdzsxkh2scccvw,15,4,182.4157410744723
jtdzsxkh2scccvw,15,5,182.40557506870582
jtdzsxkh2scccvw,15,10,183.38890598801072
jtdzsxkh2scccvw,20,1,181.88820233109502
jtdzsxkh2scccvw,20,2,181.40974649561028
jtdzsxkh2scccvw,20,3,181.27255014333574
jtdzsxkh2scccvw,20,4,181.20529513021765
jtdzsxkh2scccvw,20,5,181.55471888564398
jtdzsxkh2scccvw,20,10,183.57070520624404
jtdzsxkh2scccvw,100,5,183.42576650588276
jtdzsxkh2scccvw,100,10,185.56445473327452
jtdzsxkh2scccvw,100,50,183.1822740548262
jtdzsxkh2scccvw,1000,50,184.17721099419208
jtdzsxkh2scccvw,1000,500,184.4312837141557
jtdzsxkh2scccvw,1000,750,185.0053302207672
jtdzsxkh2scccvw,10000,500,185.074510169647
jtdzsxkh2scccvw,10000,750,185.20566647012967
jtdzsxkh2scccvw,10000,1000,184.7814152738429
jtdzsxkh2scccvw,10000,5000,183.3507762595452
jtdzsxkh2scccvw,10000,7500,183.33558598442173
y0g9hknjyys0m49,5,1,185.49253040250875
y0g9hknjyys0m49,5,2,183.08165556151317
y0g9hknjyys0m49,5,3,183.87952693845767
y0g9hknjyys0m49,5,4,183.55150655818088
y0g9hknjyys0m49,10,1,183.99267181592435
y0g9hknjyys0m49,10,2,185.29065813062957
y0g9hknjyys0m49,10,3,181.52378605406057
y0g9hknjyys0m49,10,4,182.99207345488313
y0g9hknjyys0m49,10,5,184.09794044947105
y0g9hknjyys0m49,15,1,183.3072364743874
y0g9hknjyys0m49,15,2,184.34229687160726
y0g9hknjyys0m49,15,3,183.8642417151058
y0g9hknjyys0m49,15,4,184.72033360012867
y0g9hknjyys0m49,15,5,186.96859595780944
y0g9hknjyys0m49,15,10,185.02533712546645
y0g9hknjyys0m49,20,1,183.7948298672248
y0g9hknjyys0m49,20,2,185.02949957552195
y0g9hknjyys0m49,20,3,184.32304157952393
y0g9hknjyys0m49,20,4,187.80055970458235
